2021-09-28 00:10:26.858600 {"type":"join","timestamp":1632787826.858641,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/i0.wp.com\/rosemaryorchard.com\/wp-content\/uploads\/2019\/03\/igazPjBx.jpg","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 07:11:22.628100 {"type":"message","timestamp":1632813082.628122,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70442&oldid=70441&rcid=104867\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+347) \u000310\/* site homepage update *\/\u0003\n","modes":[]}
2021-09-28 07:16:57.778500 {"type":"join","timestamp":1632813417.7785041,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"koire","nickname":"koire","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 08:02:05.466700 {"type":"join","timestamp":1632816125.4667044,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[max]","nickname":"[max]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 08:35:37.450800 {"type":"join","timestamp":1632818137.4508202,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ur5us","nickname":"ur5us","username":"~ur5us","name":null,"photo":null,"url":null,"tz":null,"host":"2406:e002:6bd3:6701:534f:b327:a77f:88b3"},"content":null,"modes":[]}
2021-09-28 09:20:05.533300 {"type":"message","timestamp":1632820805.5333395,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307testimonials\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70443&oldid=70131&rcid=104868\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+613) \u000310\u0003\n","modes":[]}
2021-09-28 09:20:54.752900 {"type":"message","timestamp":1632820854.7528899,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307testimonials\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70444&oldid=70443&rcid=104869\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (-7) \u000310\/* James Gallagher *\/\u0003\n","modes":[]}
2021-09-28 09:21:07.454900 {"type":"message","timestamp":1632820867.454876,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307testimonials\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70445&oldid=70444&rcid=104870\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (-1) \u000310\/* James Gallagher *\/\u0003\n","modes":[]}
2021-09-28 09:28:07.152800 {"type":"join","timestamp":1632821287.1528232,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ur5us","nickname":"ur5us","username":"~ur5us","name":null,"photo":null,"url":null,"tz":null,"host":"2406:e002:6bd3:6701:534f:b327:a77f:88b3"},"content":null,"modes":[]}
2021-09-28 14:00:25.262000 {"type":"join","timestamp":1632837625.2619913,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":null,"photo":null,"url":null,"tz":null,"host":"c-73-141-103-136.hsd1.pa.comcast.net"},"content":null,"modes":[]}
2021-09-28 14:39:06.407600 {"type":"join","timestamp":1632839946.4075918,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 15:59:34.983900 {"type":"join","timestamp":1632844774.9839282,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"justache","nickname":"justache","username":"~justache","name":"justache","photo":null,"url":null,"tz":null,"host":"user\/justache"},"content":null,"modes":[]}
2021-09-28 16:55:36.748700 {"type":"join","timestamp":1632848136.74875,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jacky]","nickname":"[jacky]","username":"~slackuser","name":"jacky via slack-irc-gateway","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 17:42:22.379800 {"type":"join","timestamp":1632850942.3798451,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aranjedeath","nickname":"aranjedeath","username":"~aranjedea","name":"Jacob Taylor","photo":null,"url":null,"tz":null,"host":"user\/aranjedeath"},"content":null,"modes":[]}
2021-09-28 18:10:30.497500 {"type":"join","timestamp":1632852630.497524,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
