2020-12-20 00:27:16.328900 {"type":"join","timestamp":1608424036.3288786,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":"schmarty via slack-irc-gateway","photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-20 15:31:40.740100 {"type":"join","timestamp":1608478300.7400963,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[sebsel]","nickname":"[sebsel]","username":"~slackuser","name":null,"photo":"http:\/\/seblog.nl\/photo.jpg","url":"http:\/\/seblog.nl","tz":"Europe\/Amsterdam","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-20 15:50:03.479000 {"type":"message","timestamp":1608479403.4790378,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@mapkyca] \u21a9\ufe0f It is done. (https:\/\/twitter.com\/_\/status\/1340685731828813829)","modes":[]}
2020-12-20 15:52:57.862200 {"type":"join","timestamp":1608479577.8621686,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"212.134.196.104.bc.googleusercontent.com"},"content":null,"modes":[]}
2020-12-20 15:52:57.866800 {"type":"message","timestamp":1608479577.8668413,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"212.134.196.104.bc.googleusercontent.com"},"content":"idno\/known#6259 (dev - 8ab8ea0 : Marcus Povey): The build passed.","modes":[]}
2020-12-20 15:52:57.872900 {"type":"message","timestamp":1608479577.8729434,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"212.134.196.104.bc.googleusercontent.com"},"content":"Change view : https:\/\/github.com\/idno\/known\/compare\/23e9bccce4cb...8ab8ea0b6773","modes":[]}
2020-12-20 15:52:57.887500 {"type":"message","timestamp":1608479577.8875241,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"212.134.196.104.bc.googleusercontent.com"},"content":"Build details : https:\/\/travis-ci.org\/idno\/known\/builds\/750686870","modes":[]}
2020-12-20 15:52:57.894500 {"type":"leave","timestamp":1608479577.8944786,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"212.134.196.104.bc.googleusercontent.com"},"content":null,"modes":[]}
2020-12-20 15:55:03.573700 {"type":"message","timestamp":1608479703.5736887,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@mapkyca] Switched around the @withknown branches. Bleeding edge is now \"dev\", and there's a \"stable\" branch pointing at the last tagged release. A branch for both the bold and the cautious, choose your poison. (https:\/\/twitter.com\/_\/status\/1340686320893616130)","modes":[]}
2020-12-20 17:07:14.362700 {"type":"join","timestamp":1608484034.3627362,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"cambridgeport90","nickname":"cambridgeport90","username":"~Username","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-49-51-125.bstnma.fios.verizon.net"},"content":null,"modes":[]}
2020-12-20 17:45:01.004700 {"type":"join","timestamp":1608486301.0046597,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-20 18:06:34.899100 {"type":"message","timestamp":1608487594.8991287,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"cambridgeport90","nickname":"cambridgeport90","username":"~Username","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-49-51-125.bstnma.fios.verizon.net"},"content":"Oh. Just letting everyone know, I haven't forgotten about creating the web.config file for Withknown. I still intend to do that, but when is another question. I forget which one of you asked for IIS support, but someone did.","modes":[]}
