2020-03-05 00:46:41.056600 {"type":"join","timestamp":1583369201.0565975,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 09:43:23.553900 {"type":"join","timestamp":1583401403.5539145,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"yabirgbDiscord[m","nickname":"yabirgbDiscord[m","username":"disco8160","name":"@_discord_351062741559279617:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-htzhtdhfzmordljs"},"content":null,"modes":[]}
2020-03-05 09:43:23.565300 {"type":"join","timestamp":1583401403.5652878,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"vexlDiscord[m]","nickname":"vexlDiscord[m]","username":"disco7161","name":"@_discord_204901870043529216:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vucnkynpolaokirf"},"content":null,"modes":[]}
2020-03-05 09:43:23.547000 {"type":"join","timestamp":1583401403.5469816,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"AuHau[m]","nickname":"AuHau[m]","username":"disco4526","name":"@_discord_472170667597496321:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sycxzfcixpdchpvb"},"content":null,"modes":[]}
2020-03-05 09:43:23.576900 {"type":"join","timestamp":1583401403.576935,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tangoDiscord[m]","nickname":"tangoDiscord[m]","username":"disco7219","name":"@_discord_545470000878845972:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zxixbhjunjssjibf"},"content":null,"modes":[]}
2020-03-05 09:43:23.612500 {"type":"join","timestamp":1583401403.6125355,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Nebulous[m]","nickname":"Nebulous[m]","username":"disco4557","name":"@_discord_117847216739188744:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hsgeyjnrzlaojtrg"},"content":null,"modes":[]}
2020-03-05 09:43:23.610100 {"type":"join","timestamp":1583401403.6101134,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"eshohetDiscord[m","nickname":"eshohetDiscord[m","username":"disco7045","name":"@_discord_548688908716605459:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xvfnlmxogczrwfsh"},"content":null,"modes":[]}
2020-03-05 09:43:23.614700 {"type":"join","timestamp":1583401403.61474,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dunks411Discord[","nickname":"dunks411Discord[","username":"disco8312","name":"@_discord_619846689594802196:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yhsmwdkaskwvpdpy"},"content":null,"modes":[]}
2020-03-05 09:43:23.630900 {"type":"join","timestamp":1583401403.6308966,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"HaybalesDiscord[","nickname":"HaybalesDiscord[","username":"disco9831","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sczzitjvosowvosu"},"content":null,"modes":[]}
2020-03-05 09:43:23.631900 {"type":"join","timestamp":1583401403.6319058,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"doodlemaniaDisco","nickname":"doodlemaniaDisco","username":"disco6869","name":"@_discord_605827904626098178:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-asctyynhlfqawhdp"},"content":null,"modes":[]}
2020-03-05 09:43:23.640800 {"type":"join","timestamp":1583401403.6408215,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ttocslliwDiscord","nickname":"ttocslliwDiscord","username":"disco9832","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-totugclyvytjhvlw"},"content":null,"modes":[]}
2020-03-05 09:43:23.655100 {"type":"join","timestamp":1583401403.655079,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"braditzDiscord[4","nickname":"braditzDiscord[4","username":"disco7176","name":"@_discord_144264453343543297:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-tidfdvhlgrayosso"},"content":null,"modes":[]}
2020-03-05 09:43:23.673600 {"type":"join","timestamp":1583401403.6736434,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"daveatQCDiscord[","nickname":"daveatQCDiscord[","username":"disco9593","name":"@_discord_667392949419507735:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lurpyzlyxadsxowh"},"content":null,"modes":[]}
2020-03-05 09:43:23.735200 {"type":"join","timestamp":1583401403.735234,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"lauren|Microspon","nickname":"lauren|Microspon","username":"disco6733","name":"@_discord_111007386507948032:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kierjbnjralatlbd"},"content":null,"modes":[]}
2020-03-05 09:43:23.814300 {"type":"join","timestamp":1583401403.8143032,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"FeNiXDiscord[m]","nickname":"FeNiXDiscord[m]","username":"disco8714","name":"@_discord_178926751580291072:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cdmkfqldhkorpuee"},"content":null,"modes":[]}
2020-03-05 09:43:23.983800 {"type":"join","timestamp":1583401403.9838262,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tom85[m]","nickname":"tom85[m]","username":"disco6301","name":"@_discord_499330357498478624:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-igsqhwkrvirccrbi"},"content":null,"modes":[]}
2020-03-05 10:41:12.396400 {"type":"join","timestamp":1583404872.3963993,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 10:42:36.179100 {"type":"join","timestamp":1583404956.179081,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2020-03-05 10:56:20.550900 {"type":"join","timestamp":1583405780.550875,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 11:02:20.612500 {"type":"join","timestamp":1583406140.6125462,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[ColinMorris]","nickname":"[ColinMorris]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 11:32:32.404000 {"type":"join","timestamp":1583407952.4040334,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tk5iho_","nickname":"tk5iho_","username":"~tk5iho","name":null,"photo":null,"url":null,"tz":null,"host":"125.41.165.212"},"content":null,"modes":[]}
2020-03-05 11:45:23.836500 {"type":"join","timestamp":1583408723.836535,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 13:31:31.974200 {"type":"join","timestamp":1583415091.9741783,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Sadik_Shahadu]","nickname":"[Sadik_Shahadu]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 13:37:20.970100 {"type":"join","timestamp":1583415440.9700892,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 14:15:00.915800 {"type":"join","timestamp":1583417700.9157574,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dmcweeney","nickname":"dmcweeney","username":"~webuser","name":null,"photo":"http:\/\/drewmcweeney.com\/wp-content\/uploads\/2018\/12\/Drexel-University-Concert.jpg","url":"http:\/\/Drewmcweeney.com","tz":"USA\/Connecticut","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 14:22:50.643900 {"type":"join","timestamp":1583418170.6438565,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 15:46:57.942600 {"type":"join","timestamp":1583423217.9425793,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm","nickname":"loicm","username":"~bballizli","name":null,"photo":null,"url":null,"tz":null,"host":"193.57.124.24"},"content":null,"modes":[]}
2020-03-05 16:34:57.960200 {"type":"join","timestamp":1583426097.9602294,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm","nickname":"loicm","username":"~bballizli","name":null,"photo":null,"url":null,"tz":null,"host":"42-233-164-185.ftth.cust.kwaoo.net"},"content":null,"modes":[]}
