2021-02-19 00:31:02.627700 {"type":"join","timestamp":1613694662.6276586,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-19 08:23:05.656900 {"type":"join","timestamp":1613722985.6568632,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"TroyDiscord[m]","nickname":"TroyDiscord[m]","username":"disco9466","name":"@_discord_511758359482073091:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rsaszjlmihozjcvn"},"content":null,"modes":[]}
2021-02-19 08:23:05.672200 {"type":"join","timestamp":1613722985.6722379,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"johanhermanDisc4","nickname":"johanhermanDisc4","username":"disco7252","name":"@_discord_414810288345317398:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xujonvrvibnxjlra"},"content":null,"modes":[]}
2021-02-19 08:23:05.665200 {"type":"join","timestamp":1613722985.6651735,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ianlopshireDisco","nickname":"ianlopshireDisco","username":"disco9370","name":"@_discord_665247055379431434:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cgxebcjojmsevyfe"},"content":null,"modes":[]}
2021-02-19 08:23:05.703500 {"type":"join","timestamp":1613722985.7034898,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"SnowballDiscord[","nickname":"SnowballDiscord[","username":"disco9633","name":"@_discord_655303124877049856:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-pugxmopmbmktuzer"},"content":null,"modes":[]}
2021-02-19 08:23:05.704300 {"type":"join","timestamp":1613722985.7042751,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"CarboClanCDiscor","nickname":"CarboClanCDiscor","username":"disco6720","name":"@_discord_560880733590126602:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-blakdlmmkzblpdqk"},"content":null,"modes":[]}
2021-02-19 08:23:05.698800 {"type":"join","timestamp":1613722985.6987758,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"kppDiscord[m]1","nickname":"kppDiscord[m]1","username":"disco8322","name":"@_discord_636355480347738122:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-tzxaicgadykuxwbx"},"content":null,"modes":[]}
2021-02-19 08:23:05.711300 {"type":"join","timestamp":1613722985.711326,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"malaclypsDiscord","nickname":"malaclypsDiscord","username":"disco7170","name":"@_discord_227204617295888395:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wdlgdighygtsrbug"},"content":null,"modes":[]}
2021-02-19 08:23:05.715300 {"type":"join","timestamp":1613722985.7153494,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jaduncan[m]","nickname":"jaduncan[m]","username":"jaduncanma","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cwhxkmnorawbmtun"},"content":null,"modes":[]}
2021-02-19 08:23:05.738100 {"type":"join","timestamp":1613722985.7380805,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"CyOp0x00Discord[","nickname":"CyOp0x00Discord[","username":"disco9455","name":"@_discord_408306212179017739:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bcystvliobxxcoyz"},"content":null,"modes":[]}
2021-02-19 08:23:05.759700 {"type":"join","timestamp":1613722985.7596664,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"captain-nemoDisc","nickname":"captain-nemoDisc","username":"disco8337","name":"@_discord_326557018095747083:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vovboydigkgswdbr"},"content":null,"modes":[]}
2021-02-19 08:23:05.764600 {"type":"join","timestamp":1613722985.7646382,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapachurroDiscor","nickname":"mapachurroDiscor","username":"disco8298","name":"@_discord_635659409233543169:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vxqvtzghsbfqixsf"},"content":null,"modes":[]}
2021-02-19 08:23:05.748700 {"type":"join","timestamp":1613722985.7487404,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gunttedDiscord[m","nickname":"gunttedDiscord[m","username":"disco7705","name":"@_discord_251451321603850241:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zewadkizkqafhbxd"},"content":null,"modes":[]}
2021-02-19 08:23:05.773000 {"type":"join","timestamp":1613722985.7729664,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"OxyDiscord[m]","nickname":"OxyDiscord[m]","username":"disco7123","name":"@_discord_343485915995308033:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bzedyllunxaacdmv"},"content":null,"modes":[]}
2021-02-19 08:23:05.758000 {"type":"join","timestamp":1613722985.7580261,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"amatuniDiscord[m","nickname":"amatuniDiscord[m","username":"disco7237","name":"@_discord_487053587545849866:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hwemsvzseanjezof"},"content":null,"modes":[]}
2021-02-19 08:23:05.811600 {"type":"join","timestamp":1613722985.8115819,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ddahlDiscord[m]","nickname":"ddahlDiscord[m]","username":"disco7133","name":"@_discord_568250895360589845:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mgsemwztvydaktcn"},"content":null,"modes":[]}
2021-02-19 08:23:05.813800 {"type":"join","timestamp":1613722985.8138177,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"celsoDiscord[m]1","nickname":"celsoDiscord[m]1","username":"disco7148","name":"@_discord_543026738444369920:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-eqxylppygvzjotns"},"content":null,"modes":[]}
2021-02-19 08:23:05.812800 {"type":"join","timestamp":1613722985.8127983,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"AnthonyCBuddDisc","nickname":"AnthonyCBuddDisc","username":"disco9313","name":"@_discord_468559821486948353:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dnrjojmzearlalho"},"content":null,"modes":[]}
2021-02-19 08:23:05.812200 {"type":"join","timestamp":1613722985.812247,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"vinDiscord[m]","nickname":"vinDiscord[m]","username":"disco8151","name":"@_discord_629941863369146369:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vlsndqzrmfofcisl"},"content":null,"modes":[]}
2021-02-19 08:23:05.827100 {"type":"join","timestamp":1613722985.8270876,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"andrewxhillDisco","nickname":"andrewxhillDisco","username":"disco7053","name":"@_discord_436877734866845716:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uvdzqiugocltnyfr"},"content":null,"modes":[]}
2021-02-19 08:23:05.835000 {"type":"join","timestamp":1613722985.835048,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ksDiscord[m]","nickname":"ksDiscord[m]","username":"disco7247","name":"@_discord_570017276187901954:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-nhnycjnlouznozch"},"content":null,"modes":[]}
2021-02-19 08:23:05.850300 {"type":"join","timestamp":1613722985.8502955,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"reddDiscord[m]","nickname":"reddDiscord[m]","username":"disco9558","name":"@_discord_544486565150326785:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-renijrtwryrmnoed"},"content":null,"modes":[]}
2021-02-19 08:23:05.859000 {"type":"join","timestamp":1613722985.859021,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"rklaehnDiscord[m","nickname":"rklaehnDiscord[m","username":"disco7109","name":"@_discord_593491230352998421:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vykdtdyxhktomihd"},"content":null,"modes":[]}
2021-02-19 08:23:05.857600 {"type":"join","timestamp":1613722985.8575926,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"eshohetDiscord[m","nickname":"eshohetDiscord[m","username":"disco7045","name":"@_discord_548688908716605459:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dfhmeqmltugaclbn"},"content":null,"modes":[]}
2021-02-19 08:23:05.872200 {"type":"join","timestamp":1613722985.8721697,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gnunicornDiscord","nickname":"gnunicornDiscord","username":"disco7105","name":"@_discord_502857675869257735:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kxprsgskcvtjqrlq"},"content":null,"modes":[]}
2021-02-19 08:23:05.895200 {"type":"join","timestamp":1613722985.895177,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"peatDiscord[m]","nickname":"peatDiscord[m]","username":"disco8278","name":"@_discord_575836319331254274:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mnqlkxomuahrljer"},"content":null,"modes":[]}
2021-02-19 08:23:05.894000 {"type":"join","timestamp":1613722985.8940103,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"borismusDiscord[","nickname":"borismusDiscord[","username":"disco9789","name":"@_discord_332686676818264064:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kbmndciperygbqpg"},"content":null,"modes":[]}
2021-02-19 08:23:05.911500 {"type":"join","timestamp":1613722985.9115303,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"olizillaDiscord[","nickname":"olizillaDiscord[","username":"disco7108","name":"@_discord_565491610423394304:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sskkoxzkyaylgtdl"},"content":null,"modes":[]}
2021-02-19 08:23:05.907500 {"type":"join","timestamp":1613722985.9074583,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Tianyi[m]","nickname":"Tianyi[m]","username":"disco6330","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iwijfbxeqkmxdvqy"},"content":null,"modes":[]}
2021-02-19 08:23:05.926300 {"type":"join","timestamp":1613722985.9263234,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sacha[m]","nickname":"sacha[m]","username":"disco6239","name":"@_discord_316862566473400331:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cspthxaepnkpidar"},"content":null,"modes":[]}
2021-02-19 08:23:05.941200 {"type":"join","timestamp":1613722985.9412458,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Oxy[m]","nickname":"Oxy[m]","username":"disco6553","name":"@_discord_343485915995308033:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zjivsimzgknkutol"},"content":null,"modes":[]}
2021-02-19 08:23:05.946700 {"type":"join","timestamp":1613722985.946698,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jmank88Discord[m","nickname":"jmank88Discord[m","username":"disco7165","name":"@_discord_494889102672527360:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ckqpenrylazqhvof"},"content":null,"modes":[]}
2021-02-19 08:23:05.947600 {"type":"join","timestamp":1613722985.9476237,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"pankajmendkiDisc","nickname":"pankajmendkiDisc","username":"disco9309","name":"@_discord_480234658420883456:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ahwnhewodhqngadf"},"content":null,"modes":[]}
2021-02-19 08:23:05.960400 {"type":"join","timestamp":1613722985.9603689,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gabrielbaron16Di","nickname":"gabrielbaron16Di","username":"disco9465","name":"@_discord_581627597662978079:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gpjflizmmqzukdmc"},"content":null,"modes":[]}
2021-02-19 08:23:05.972700 {"type":"join","timestamp":1613722985.9727387,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Rick[m]2","nickname":"Rick[m]2","username":"disco6441","name":"@_discord_491023141477416981:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lgbnefdcxelrltjy"},"content":null,"modes":[]}
2021-02-19 08:23:05.980100 {"type":"join","timestamp":1613722985.9800775,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"oed3[m]","nickname":"oed3[m]","username":"disco4808","name":"@_discord_486079775165906960:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gpblgcjgabgmefag"},"content":null,"modes":[]}
2021-02-19 08:23:06.000200 {"type":"join","timestamp":1613722986.0002131,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"TeamIanDiscord[m","nickname":"TeamIanDiscord[m","username":"disco7199","name":"@_discord_425099253845590016:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ggmadrgdgbinarca"},"content":null,"modes":[]}
2021-02-19 08:23:06.000800 {"type":"join","timestamp":1613722986.0008295,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"FusonDiscord[m]","nickname":"FusonDiscord[m]","username":"disco8223","name":"@_discord_254919107877666819:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cqehaelktfargwme"},"content":null,"modes":[]}
2021-02-19 08:23:06.024100 {"type":"join","timestamp":1613722986.0240946,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"M4eekDiscord[m]","nickname":"M4eekDiscord[m]","username":"disco7134","name":"@_discord_214733601521139712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yolnghvoscammenc"},"content":null,"modes":[]}
2021-02-19 08:23:06.025100 {"type":"join","timestamp":1613722986.0251238,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"pcowgillDiscord[","nickname":"pcowgillDiscord[","username":"disco9350","name":"@_discord_487309948796141579:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jobynlixlelwsbli"},"content":null,"modes":[]}
2021-02-19 08:23:06.044900 {"type":"join","timestamp":1613722986.0448816,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"icaruszDiscord[4","nickname":"icaruszDiscord[4","username":"disco9592","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xwqspifajrjgkglt"},"content":null,"modes":[]}
2021-02-19 08:23:06.043900 {"type":"join","timestamp":1613722986.043943,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"zcopleyDiscord[m","nickname":"zcopleyDiscord[m","username":"disco7251","name":"@_discord_482702306018721805:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ljvetxgyjtxfdsmh"},"content":null,"modes":[]}
