2019-09-17 00:40:43.506000 {"type":"join","timestamp":1568680843.506,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-17 03:05:59.586400 {"type":"join","timestamp":1568689559.5864,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk[m]","nickname":"aaronpk[m]","username":"disco5674","name":"@_discord_324624369428987905:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-incaazkkvcquvxwd"},"content":null,"modes":[]}
2019-09-17 03:05:59.663700 {"type":"join","timestamp":1568689559.6637,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Nebulous[m]","nickname":"Nebulous[m]","username":"disco4557","name":"@_discord_117847216739188744:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bzvygpnggsttzkwc"},"content":null,"modes":[]}
2019-09-17 03:05:59.676400 {"type":"join","timestamp":1568689559.6764,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"card[m]","nickname":"card[m]","username":"disco5725","name":"@_discord_82345670291238912:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rxuvxssatqcgaicw"},"content":null,"modes":[]}
2019-09-17 03:05:59.681100 {"type":"join","timestamp":1568689559.6811,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"iiogama[m]","nickname":"iiogama[m]","username":"disco4583","name":"@_discord_306622722681733131:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-crowbzhyilhciohb"},"content":null,"modes":[]}
2019-09-17 03:05:59.692900 {"type":"join","timestamp":1568689559.6929,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"npfoss[m]","nickname":"npfoss[m]","username":"disco6156","name":"@_discord_400358807890427905:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rnqsuhuparclnfoa"},"content":null,"modes":[]}
2019-09-17 03:05:59.739200 {"type":"join","timestamp":1568689559.7392,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"freethinkingaway","nickname":"freethinkingaway","username":"disco5683","name":"@_discord_397450277365612555:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-msdiecacbkatuszm"},"content":null,"modes":[]}
2019-09-17 03:06:00.222800 {"type":"join","timestamp":1568689560.2228,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Romaric[m]1","nickname":"Romaric[m]1","username":"disco6284","name":"@_discord_440699935239831552:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iwblyrduvrwenqer"},"content":null,"modes":[]}
2019-09-17 03:06:00.321400 {"type":"join","timestamp":1568689560.3214,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"andrewxhill[m]","nickname":"andrewxhill[m]","username":"disco5076","name":"@_discord_436877734866845716:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jqwwltynmhhlydgi"},"content":null,"modes":[]}
2019-09-17 03:06:00.301400 {"type":"join","timestamp":1568689560.3014,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"romaric[m]","nickname":"romaric[m]","username":"disco6282","name":"@_discord_593337102884667412:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-aaesfegankucfzai"},"content":null,"modes":[]}
2019-09-17 03:06:00.332700 {"type":"join","timestamp":1568689560.3327,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"new0ne[m]","nickname":"new0ne[m]","username":"disco6248","name":"@_discord_352515918036860931:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-umwsuippwqipzgpl"},"content":null,"modes":[]}
2019-09-17 03:06:00.361400 {"type":"join","timestamp":1568689560.3614,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tom85[m]","nickname":"tom85[m]","username":"disco6301","name":"@_discord_499330357498478624:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-quoxnkbmgrdmfsky"},"content":null,"modes":[]}
2019-09-17 03:06:00.383800 {"type":"join","timestamp":1568689560.3838,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sander[m]","nickname":"sander[m]","username":"disco6262","name":"@_discord_415955810393522187:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ffrzpadsgtufxajt"},"content":null,"modes":[]}
2019-09-17 03:06:00.377100 {"type":"join","timestamp":1568689560.3771,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Giyomu[m]","nickname":"Giyomu[m]","username":"disco6243","name":"@_discord_161201362930106368:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kzofrkhebeoczeee"},"content":null,"modes":[]}
2019-09-17 03:06:00.347000 {"type":"join","timestamp":1568689560.347,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"manfred[m]","nickname":"manfred[m]","username":"disco6242","name":"@_discord_263655035743764480:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-fogqyimutmztthwz"},"content":null,"modes":[]}
2019-09-17 03:06:00.330800 {"type":"join","timestamp":1568689560.3308,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ritewhose[m]","nickname":"ritewhose[m]","username":"disco4979","name":"@_discord_382370589261692928:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mfmiqdymtieupvfw"},"content":null,"modes":[]}
2019-09-17 03:06:00.335100 {"type":"join","timestamp":1568689560.3351,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rittme[m]","nickname":"rittme[m]","username":"disco6283","name":"@_discord_471204372613693440:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yyawykburkobfcxh"},"content":null,"modes":[]}
2019-09-17 03:06:00.932500 {"type":"join","timestamp":1568689560.9325,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"7IZAAB0SP","nickname":"7IZAAB0SP","username":"disco6329","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-unujlqtbbowmusbq"},"content":null,"modes":[]}
2019-09-17 03:06:01.011400 {"type":"join","timestamp":1568689561.0114,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Ja3ood[m]","nickname":"Ja3ood[m]","username":"disco6325","name":"@_discord_400750833299488776:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-eqbtibbkekrnyhvy"},"content":null,"modes":[]}
2019-09-17 03:06:01.018400 {"type":"join","timestamp":1568689561.0184,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"RealSnazzy[m]","nickname":"RealSnazzy[m]","username":"disco6114","name":"@_discord_151411952701276160:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rghbnsahadhhgooi"},"content":null,"modes":[]}
2019-09-17 03:06:01.026800 {"type":"join","timestamp":1568689561.0268,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Keegen[m]","nickname":"Keegen[m]","username":"disco6331","name":"@_discord_594136657402527745:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qnwrbnyywtyoivjf"},"content":null,"modes":[]}
2019-09-17 03:06:01.105300 {"type":"join","timestamp":1568689561.1053,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Lolicon[m]","nickname":"Lolicon[m]","username":"disco5193","name":"@_discord_525958885693980673:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ytksagdrusrlfyjy"},"content":null,"modes":[]}
2019-09-17 03:06:01.085800 {"type":"join","timestamp":1568689561.0858,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gorhgorh[m]1","nickname":"gorhgorh[m]1","username":"disco6328","name":"@_discord_591413283429548032:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-btemwtxvrfjdyena"},"content":null,"modes":[]}
2019-09-17 03:06:01.103100 {"type":"join","timestamp":1568689561.1031,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"drbh[m]","nickname":"drbh[m]","username":"disco6315","name":"@_discord_365938186477764638:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-edzjkflxsfbzhbhf"},"content":null,"modes":[]}
2019-09-17 03:06:01.117800 {"type":"join","timestamp":1568689561.1178,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"5EXAATX99","nickname":"5EXAATX99","username":"disco6330","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uxkeznpfxisyspwt"},"content":null,"modes":[]}
2019-09-17 03:06:01.107000 {"type":"join","timestamp":1568689561.107,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gnunicorn[m]","nickname":"gnunicorn[m]","username":"disco6327","name":"@_discord_502857675869257735:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-09-17 03:06:01.637500 {"type":"join","timestamp":1568689561.6375,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"macerbi[m]1","nickname":"macerbi[m]1","username":"disco6338","name":"@_discord_518392799926812672:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-spxmxlwynyuqqotb"},"content":null,"modes":[]}
2019-09-17 03:06:01.633300 {"type":"join","timestamp":1568689561.6333,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"mikeal[m]","nickname":"mikeal[m]","username":"disco6342","name":"@_discord_455780452465115176:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kdqvvjwwzuitpllh"},"content":null,"modes":[]}
2019-09-17 03:06:01.647800 {"type":"join","timestamp":1568689561.6478,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rklaehn[m]","nickname":"rklaehn[m]","username":"disco6372","name":"@_discord_593491230352998421:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jezbsiokycbwdsrc"},"content":null,"modes":[]}
2019-09-17 03:06:01.710200 {"type":"join","timestamp":1568689561.7102,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"cesarosum[m]","nickname":"cesarosum[m]","username":"disco6369","name":"@_discord_594822430896160768:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xophbvdpthtszlsp"},"content":null,"modes":[]}
2019-09-17 03:06:01.797800 {"type":"join","timestamp":1568689561.7978,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Senshi[m]","nickname":"Senshi[m]","username":"disco6347","name":"@_discord_509302971918712832:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vzeqlcokxwgmjrvi"},"content":null,"modes":[]}
2019-09-17 03:06:01.798800 {"type":"join","timestamp":1568689561.7988,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"mZ[m]","nickname":"mZ[m]","username":"disco6360","name":"@_discord_453360522793058305:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rjeiodsmxezdbrcd"},"content":null,"modes":[]}
2019-09-17 03:06:01.824000 {"type":"join","timestamp":1568689561.824,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"vasa[m]","nickname":"vasa[m]","username":"disco6344","name":"@_discord_405767429369888779:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yiyzvyarryhcvqjh"},"content":null,"modes":[]}
2019-09-17 03:06:01.806500 {"type":"join","timestamp":1568689561.8065,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gorhgorh[m]2","nickname":"gorhgorh[m]2","username":"disco6371","name":"@_discord_103434820591304704:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wzgbnahpmozpivhx"},"content":null,"modes":[]}
2019-09-17 03:06:01.829000 {"type":"join","timestamp":1568689561.829,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"enricomarino[m]","nickname":"enricomarino[m]","username":"disco6348","name":"@_discord_594418919721402368:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ztjxtlonkyphqapm"},"content":null,"modes":[]}
2019-09-17 03:06:02.358300 {"type":"join","timestamp":1568689562.3583,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"prtfw[m]","nickname":"prtfw[m]","username":"disco6373","name":"@_discord_541375141611962380:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ihmmepbzywtajlpu"},"content":null,"modes":[]}
2019-09-17 03:06:02.351400 {"type":"join","timestamp":1568689562.3514,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"maparent[m]","nickname":"maparent[m]","username":"disco6374","name":"@_discord_542389000909094912:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xfndwqevoyvxlktd"},"content":null,"modes":[]}
2019-09-17 03:06:02.361300 {"type":"join","timestamp":1568689562.3613,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Mairkur[m]","nickname":"Mairkur[m]","username":"disco6385","name":"@_discord_145836579783573505:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mspjiugwsdvdnpjr"},"content":null,"modes":[]}
2019-09-17 03:06:02.424300 {"type":"join","timestamp":1568689562.4243,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"drshamoon[m]","nickname":"drshamoon[m]","username":"disco6389","name":"@_discord_402200697988448286:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-brpbembsmxkenffk"},"content":null,"modes":[]}
2019-09-17 03:06:02.431500 {"type":"join","timestamp":1568689562.4315,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"celso[m]1","nickname":"celso[m]1","username":"disco6410","name":"@_discord_327775979860918275:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rfslfonijcikkdcc"},"content":null,"modes":[]}
2019-09-17 03:06:02.507800 {"type":"join","timestamp":1568689562.5078,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"chris[m]1","nickname":"chris[m]1","username":"disco6375","name":"@_discord_256563378137464832:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-usxfcdlbslzhqejw"},"content":null,"modes":[]}
2019-09-17 03:06:02.501600 {"type":"join","timestamp":1568689562.5016,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"placer14[m]","nickname":"placer14[m]","username":"disco6324","name":"@_discord_509017984514129921:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-owmkrlhlqqorwbrv"},"content":null,"modes":[]}
2019-09-17 03:06:02.526100 {"type":"join","timestamp":1568689562.5261,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"celso[m]","nickname":"celso[m]","username":"disco6409","name":"@_discord_543026738444369920:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-phxdedgzunhtzbeg"},"content":null,"modes":[]}
2019-09-17 03:06:02.517400 {"type":"join","timestamp":1568689562.5174,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gozala[m]","nickname":"gozala[m]","username":"disco6390","name":"@_discord_311930884318167042:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dedwttdmxheaupog"},"content":null,"modes":[]}
2019-09-17 03:06:02.967600 {"type":"join","timestamp":1568689562.9676,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"CantiTurtleCoin[","nickname":"CantiTurtleCoin[","username":"disco5271","name":"@_discord_408364361598369802:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-afcfjkgfxnyyoefa"},"content":null,"modes":[]}
2019-09-17 03:06:03.045200 {"type":"join","timestamp":1568689563.0452,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"pierreboc[m]","nickname":"pierreboc[m]","username":"disco6431","name":"@_discord_543858563961978881:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lawrckpjvvdwhtgy"},"content":null,"modes":[]}
2019-09-17 03:06:03.120200 {"type":"join","timestamp":1568689563.1202,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"oed3[m]","nickname":"oed3[m]","username":"disco4808","name":"@_discord_486079775165906960:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ebtinjriexgnqpos"},"content":null,"modes":[]}
2019-09-17 03:06:03.130600 {"type":"join","timestamp":1568689563.1306,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aeddi[m]","nickname":"aeddi[m]","username":"disco6240","name":"@_discord_471972466500304907:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iaumovgaurfiwmsj"},"content":null,"modes":[]}
2019-09-17 03:06:03.138300 {"type":"join","timestamp":1568689563.1383,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"fozzie[m]","nickname":"fozzie[m]","username":"disco6443","name":"@_discord_517452408926896163:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ouznjmhninyfxmtn"},"content":null,"modes":[]}
2019-09-17 03:06:03.158700 {"type":"join","timestamp":1568689563.1587,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"M[AXEL]Darr[m]","nickname":"M[AXEL]Darr[m]","username":"disco6337","name":"@_discord_567492180990754824:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hefwpwhvtpjlezeb"},"content":null,"modes":[]}
2019-09-17 03:06:03.211100 {"type":"join","timestamp":1568689563.2111,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"msena3[m]","nickname":"msena3[m]","username":"disco4893","name":"@_discord_453266173035806730:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-oveximnsznazatmj"},"content":null,"modes":[]}
2019-09-17 03:06:03.163500 {"type":"join","timestamp":1568689563.1635,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"AXEL-Lee[m]","nickname":"AXEL-Lee[m]","username":"disco6439","name":"@_discord_517458170315145227:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rdgtjtubfvkxavtj"},"content":null,"modes":[]}
2019-09-17 03:06:03.204600 {"type":"join","timestamp":1568689563.2046,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"AXEL-Brian[m]","nickname":"AXEL-Brian[m]","username":"disco6440","name":"@_discord_532219357418356738:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-halxfnseamgkbsur"},"content":null,"modes":[]}
2019-09-17 03:06:03.237400 {"type":"join","timestamp":1568689563.2374,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Rick[m]","nickname":"Rick[m]","username":"disco6441","name":"@_discord_491023141477416981:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-aagpxplsewglvkmm"},"content":null,"modes":[]}
2019-09-17 03:06:03.197900 {"type":"join","timestamp":1568689563.1979,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"CryptoEmpress[m]","nickname":"CryptoEmpress[m]","username":"disco6442","name":"@_discord_530977054158487553:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-nuhyodavymuainmk"},"content":null,"modes":[]}
2019-09-17 03:06:03.739300 {"type":"join","timestamp":1568689563.7393,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"hvergara[m]","nickname":"hvergara[m]","username":"disco6508","name":"@_discord_597351248752279565:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-snoolnbgavxhhxni"},"content":null,"modes":[]}
2019-09-17 03:06:03.740300 {"type":"join","timestamp":1568689563.7403,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JeffMaherVegas[m","nickname":"JeffMaherVegas[m","username":"disco6451","name":"@_discord_540315973253857301:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qnwazjtbxtczmqkk"},"content":null,"modes":[]}
2019-09-17 03:06:03.755200 {"type":"join","timestamp":1568689563.7552,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jenncloud[m]","nickname":"jenncloud[m]","username":"disco6458","name":"@_discord_387416548018749440:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-pqmeqttejutsparg"},"content":null,"modes":[]}
2019-09-17 03:06:03.753500 {"type":"join","timestamp":1568689563.7535,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"WidgetBotiocli1[","nickname":"WidgetBotiocli1[","username":"disco6470","name":"@_discord_454690519952523267:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-onipxbswwwxlmhve"},"content":null,"modes":[]}
