2019-10-31 00:02:59.273700 {"type":"join","timestamp":1572480179.2737,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2019-10-31 00:19:49.927200 {"type":"join","timestamp":1572481189.9272,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"M3baidDiscord[m4","nickname":"M3baidDiscord[m4","username":"disco8136","name":"@_discord_629345886325047307:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rcrxvwyuvetwatga"},"content":null,"modes":[]}
2019-10-31 00:19:49.949700 {"type":"join","timestamp":1572481189.9497,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hvergaraDiscord[","nickname":"hvergaraDiscord[","username":"disco7149","name":"@_discord_597351248752279565:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yhmlstynqpwkubwm"},"content":null,"modes":[]}
2019-10-31 00:19:49.935100 {"type":"join","timestamp":1572481189.9351,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jwheelerDiscord[","nickname":"jwheelerDiscord[","username":"discord63","name":"@_discord_600559712420757507:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rwccpefniwpdypgo"},"content":null,"modes":[]}
2019-10-31 00:19:49.951800 {"type":"join","timestamp":1572481189.9518,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"AlekseyDiscord[m","nickname":"AlekseyDiscord[m","username":"disco7814","name":"@_discord_487263625841737738:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zyrvgtnhbfyxkkpq"},"content":null,"modes":[]}
2019-10-31 00:19:52.014500 {"type":"join","timestamp":1572481192.0145,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"fozzieDiscord[m]","nickname":"fozzieDiscord[m]","username":"disco7137","name":"@_discord_517452408926896163:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jzmupwyrymvbjfyg"},"content":null,"modes":[]}
2019-10-31 00:19:52.179500 {"type":"join","timestamp":1572481192.1795,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk[m]","nickname":"aaronpk[m]","username":"disco5674","name":"@_discord_324624369428987905:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-offbuiqyppoqqghy"},"content":null,"modes":[]}
2019-10-31 00:19:52.191200 {"type":"join","timestamp":1572481192.1912,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"johanherman[m]","nickname":"johanherman[m]","username":"disco6534","name":"@_discord_414810288345317398:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yglaijfntrwcxpxi"},"content":null,"modes":[]}
2019-10-31 00:19:52.209700 {"type":"join","timestamp":1572481192.2097,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"M}Discord[m]","nickname":"M}Discord[m]","username":"disco8254","name":"@_discord_618938655196708925:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qmrsvkaruybxevif"},"content":null,"modes":[]}
2019-10-31 00:19:53.672200 {"type":"join","timestamp":1572481193.6722,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"cwDiscord[m]","nickname":"cwDiscord[m]","username":"disco7143","name":"@_discord_512680894671224844:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xlqahqmelwybkrwk"},"content":null,"modes":[]}
2019-10-31 00:19:53.991500 {"type":"join","timestamp":1572481193.9915,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gozala[m]","nickname":"gozala[m]","username":"disco6390","name":"@_discord_311930884318167042:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hbfvixsufwfzrtql"},"content":null,"modes":[]}
2019-10-31 00:19:55.692700 {"type":"join","timestamp":1572481195.6927,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"janttoDiscord[m]","nickname":"janttoDiscord[m]","username":"disco7388","name":"@_discord_611894156633178153:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-pzmbbljykmjtjnps"},"content":null,"modes":[]}
2019-10-31 00:19:55.781300 {"type":"join","timestamp":1572481195.7813,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"NatoBoramDiscord","nickname":"NatoBoramDiscord","username":"disco6646","name":"@_discord_157311679288311808:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bqtxajvpalitsrrh"},"content":null,"modes":[]}
2019-10-31 00:19:55.791900 {"type":"join","timestamp":1572481195.7919,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KubeDiscord[m]","nickname":"KubeDiscord[m]","username":"disco7098","name":"@_discord_141770225312989184:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-onaryjriyadjnsbl"},"content":null,"modes":[]}
2019-10-31 00:19:55.852100 {"type":"join","timestamp":1572481195.8521,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ddahlDiscord[m]","nickname":"ddahlDiscord[m]","username":"disco7133","name":"@_discord_568250895360589845:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cnukccxbagmmqxvj"},"content":null,"modes":[]}
2019-10-31 00:19:55.860100 {"type":"join","timestamp":1572481195.8601,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"silent_ActivistD","nickname":"silent_ActivistD","username":"disco7220","name":"@_discord_410178443200954370:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hjaphppbwwiviuza"},"content":null,"modes":[]}
2019-10-31 00:19:55.883300 {"type":"join","timestamp":1572481195.8833,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"TryptophanDiscor","nickname":"TryptophanDiscor","username":"disco7155","name":"@_discord_105033507180417024:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-snybsijhikfcgzup"},"content":null,"modes":[]}
2019-10-31 00:19:55.903000 {"type":"join","timestamp":1572481195.903,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gregjeanmartDisc","nickname":"gregjeanmartDisc","username":"disco6744","name":"@_discord_266652994278391808:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mhhexgxxnjqnorpb"},"content":null,"modes":[]}
2019-10-31 00:19:55.915300 {"type":"join","timestamp":1572481195.9153,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"r5723013Discord[","nickname":"r5723013Discord[","username":"disco7231","name":"@_discord_492987261038755840:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-njokgnglxyjkmijh"},"content":null,"modes":[]}
2019-10-31 00:19:55.936700 {"type":"join","timestamp":1572481195.9367,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Clment[m]","nickname":"Clment[m]","username":"disco4770","name":"@_discord_433587399130611712:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qfzketbxgeuqbwic"},"content":null,"modes":[]}
2019-10-31 00:19:55.955600 {"type":"join","timestamp":1572481195.9556,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"AXEL-BrianDiscor","nickname":"AXEL-BrianDiscor","username":"disco7068","name":"@_discord_532219357418356738:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hlcahpusjalakwux"},"content":null,"modes":[]}
2019-10-31 00:19:55.967500 {"type":"join","timestamp":1572481195.9675,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"AxieDiscord[m]","nickname":"AxieDiscord[m]","username":"disco8153","name":"@_discord_543600906957094952:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bdflbsvgwtcvoipt"},"content":null,"modes":[]}
2019-10-31 00:19:57.455900 {"type":"join","timestamp":1572481197.4559,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"felixschlDiscor4","nickname":"felixschlDiscor4","username":"disco7216","name":"@_discord_493642519997841418:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vygcdxoqwhofngmz"},"content":null,"modes":[]}
2019-10-31 00:19:57.462700 {"type":"join","timestamp":1572481197.4627,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bengoDiscord[m]","nickname":"bengoDiscord[m]","username":"disco6722","name":"@_discord_602622661125996545:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-frljxmmhcykggxti"},"content":null,"modes":[]}
2019-10-31 00:19:58.833000 {"type":"join","timestamp":1572481198.833,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"chmanieDiscord[m","nickname":"chmanieDiscord[m","username":"disco7119","name":"@_discord_478638931894861825:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ogtmuyuprlbvkxcp"},"content":null,"modes":[]}
2019-10-31 00:19:58.826900 {"type":"join","timestamp":1572481198.8269,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"cwchristerwDisco","nickname":"cwchristerwDisco","username":"disco7057","name":"@_discord_493174343484833802:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-siswyodfvsrkcwtf"},"content":null,"modes":[]}
2019-10-31 00:19:58.899500 {"type":"join","timestamp":1572481198.8995,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"PamileissonDisco","nickname":"PamileissonDisco","username":"disco7217","name":"@_discord_542772561549852693:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-tvzetbetgbxzctrr"},"content":null,"modes":[]}
2019-10-31 00:19:58.877300 {"type":"join","timestamp":1572481198.8773,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"zcopleyDiscord[m","nickname":"zcopleyDiscord[m","username":"disco7251","name":"@_discord_482702306018721805:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-oepevfrnqorexuxv"},"content":null,"modes":[]}
2019-10-31 00:19:58.889700 {"type":"join","timestamp":1572481198.8897,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hubaDiscord[m]","nickname":"hubaDiscord[m]","username":"disco7107","name":"@_discord_573607390625398794:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sojiriqkgkreoxjl"},"content":null,"modes":[]}
2019-10-31 00:19:58.914400 {"type":"join","timestamp":1572481198.9144,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ad87657Discord[m","nickname":"ad87657Discord[m","username":"disco7242","name":"@_discord_218726067215663104:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-retmizgqafqezjxx"},"content":null,"modes":[]}
2019-10-31 00:19:58.952600 {"type":"join","timestamp":1572481198.9526,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bushido711Discor","nickname":"bushido711Discor","username":"disco6884","name":"@_discord_456575013663932416:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-afhkepbhvrnwaltn"},"content":null,"modes":[]}
2019-10-31 00:19:58.937000 {"type":"join","timestamp":1572481198.937,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nijynotDiscord[m","nickname":"nijynotDiscord[m","username":"disco7180","name":"@_discord_112597975200501760:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ysgleoiledkprwps"},"content":null,"modes":[]}
2019-10-31 00:19:58.947200 {"type":"join","timestamp":1572481198.9472,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"cristobalDiscord","nickname":"cristobalDiscord","username":"disco7111","name":"@_discord_485160696183783424:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-arnxoponrlwenhbt"},"content":null,"modes":[]}
2019-10-31 00:19:58.981500 {"type":"join","timestamp":1572481198.9815,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"shokunin[m]","nickname":"shokunin[m]","username":"disco4512","name":"@_discord_398336732287991808:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xzqgjqnydjgvionn"},"content":null,"modes":[]}
2019-10-31 00:19:59.002400 {"type":"join","timestamp":1572481199.0024,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hazDiscord[m]","nickname":"hazDiscord[m]","username":"disco7036","name":"@_discord_137643087919841280:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yrsvcfjlnzawcmcu"},"content":null,"modes":[]}
2019-10-31 00:19:59.008300 {"type":"join","timestamp":1572481199.0083,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"CarboClanCDiscor","nickname":"CarboClanCDiscor","username":"disco6720","name":"@_discord_560880733590126602:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bjidvnxhuqqpzaam"},"content":null,"modes":[]}
2019-10-31 00:19:59.020300 {"type":"join","timestamp":1572481199.0203,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"celsoDiscord[m]1","nickname":"celsoDiscord[m]1","username":"disco7230","name":"@_discord_543026738444369920:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-aoerwueegvkwutju"},"content":null,"modes":[]}
2019-10-31 00:19:59.180800 {"type":"join","timestamp":1572481199.1808,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"foxcoolDiscord[m","nickname":"foxcoolDiscord[m","username":"disco7096","name":"@_discord_508947790341341184:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-amutvgjtinunukkk"},"content":null,"modes":[]}
2019-10-31 00:19:59.191400 {"type":"join","timestamp":1572481199.1914,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"buztedDiscord[m]","nickname":"buztedDiscord[m]","username":"disco7079","name":"@_discord_548425014744186911:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dsilyjeufokmilii"},"content":null,"modes":[]}
2019-10-31 00:19:59.174900 {"type":"join","timestamp":1572481199.1749,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"LordFenixNCDisco","nickname":"LordFenixNCDisco","username":"disco6981","name":"@_discord_198121058312781825:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-nxhidzxtprzmlyiy"},"content":null,"modes":[]}
2019-10-31 00:20:01.358100 {"type":"join","timestamp":1572481201.3581,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"thatguyDiscord[m","nickname":"thatguyDiscord[m","username":"disco6967","name":"@_discord_528534281853861923:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gnnuzjplacgswtfn"},"content":null,"modes":[]}
2019-10-31 00:20:01.368600 {"type":"join","timestamp":1572481201.3686,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"M[AXEL]JulianDis","nickname":"M[AXEL]JulianDis","username":"disco6793","name":"@_discord_593213017261473849:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sexzifbszsqudcnf"},"content":null,"modes":[]}
2019-10-31 00:20:01.495500 {"type":"join","timestamp":1572481201.4955,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"raulDiscord[m]","nickname":"raulDiscord[m]","username":"disco8157","name":"@_discord_630407761347346433:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lfscirrfjbgbaohk"},"content":null,"modes":[]}
2019-10-31 00:20:01.605800 {"type":"join","timestamp":1572481201.6058,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"tom85Discord[m]","nickname":"tom85Discord[m]","username":"disco7113","name":"@_discord_499330357498478624:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ciurtpezfwrxifma"},"content":null,"modes":[]}
2019-10-31 00:20:45.588800 {"type":"join","timestamp":1572481245.5888,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Evert[m]","nickname":"Evert[m]","username":"evertmatri","name":"@evert:matrix.evertpot.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xuwnekmrgjtyswlx"},"content":null,"modes":[]}
2019-10-31 00:24:49.581100 {"type":"join","timestamp":1572481489.5811,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"leoalvarezhDisco","nickname":"leoalvarezhDisco","username":"disco7249","name":"@_discord_380800395297030144:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.579900 {"type":"join","timestamp":1572481489.5799,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"test123Discord[m","nickname":"test123Discord[m","username":"disco7235","name":"@_discord_571973437090824213:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.594100 {"type":"join","timestamp":1572481489.5941,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"eshohetDiscord[m","nickname":"eshohetDiscord[m","username":"disco7045","name":"@_discord_548688908716605459:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.597400 {"type":"join","timestamp":1572481489.5974,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bekoDiscord[m]","nickname":"bekoDiscord[m]","username":"disco7656","name":"@_discord_296406134456320031:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.602500 {"type":"join","timestamp":1572481489.6025,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nofwayyDiscord[m","nickname":"nofwayyDiscord[m","username":"disco7259","name":"@_discord_516237787029176330:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.618400 {"type":"join","timestamp":1572481489.6184,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"cesarosumDiscord","nickname":"cesarosumDiscord","username":"disco7187","name":"@_discord_594822430896160768:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:49.657700 {"type":"join","timestamp":1572481489.6577,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Kongaloosh","nickname":"Kongaloosh","username":"~quassel","name":"nope","photo":"http:\/\/kongaloosh.com\/static\/img\/profile.jpg","url":"http:\/\/kongaloosh.com","tz":"Europe\/Edinburgh","host":"2604:a880:400:d0::175f:f001"},"content":null,"modes":[]}
2019-10-31 00:24:49.649700 {"type":"join","timestamp":1572481489.6497,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aeddi[m]","nickname":"aeddi[m]","username":"disco6240","name":"@_discord_471972466500304907:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.445300 {"type":"join","timestamp":1572481491.4453,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aeddi[m]","nickname":"aeddi[m]","username":"disco6240","name":"@_discord_471972466500304907:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.552100 {"type":"join","timestamp":1572481491.5521,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"cesarosumDiscord","nickname":"cesarosumDiscord","username":"disco7187","name":"@_discord_594822430896160768:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.562000 {"type":"join","timestamp":1572481491.562,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nofwayyDiscord[m","nickname":"nofwayyDiscord[m","username":"disco7259","name":"@_discord_516237787029176330:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.643500 {"type":"join","timestamp":1572481491.6435,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bekoDiscord[m]","nickname":"bekoDiscord[m]","username":"disco7656","name":"@_discord_296406134456320031:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.731000 {"type":"join","timestamp":1572481491.731,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"eshohetDiscord[m","nickname":"eshohetDiscord[m","username":"disco7045","name":"@_discord_548688908716605459:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
