2018-11-18 00:09:03.098800 {"type":"join","timestamp":1542499743.0988,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[grantcodes]","nickname":"[grantcodes]","username":"~slackuser","name":null,"photo":"https:\/\/grant.codes\/icons\/favicon-32x32.png","url":"http:\/\/grant.codes","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 14:48:58.932700 {"type":"join","timestamp":1542552538.9327,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 15:04:45.575800 {"type":"join","timestamp":1542553485.5758,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","username":"~slackuser","name":null,"photo":"http:\/\/cleverdevil.io\/file\/aebc8830bb7d63be725f43949ed90fa4\/thumb.jpg","url":"http:\/\/cleverdevil.io","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 15:51:58.704100 {"type":"message","timestamp":1542556318.7041,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"... why does php-mf2 have a composer.lock that's older than composer.json?","modes":["voice"]}
2018-11-18 15:59:47.881300 {"type":"join","timestamp":1542556787.8813,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 16:09:05.134400 {"type":"message","timestamp":1542557345.1344,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"that's odd","modes":["voice"]}
2018-11-18 16:17:05.329900 {"type":"join","timestamp":1542557825.3299,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-134-228.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2018-11-18 16:23:52.599700 {"type":"join","timestamp":1542558232.5997,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 16:24:26.402900 {"type":"message","timestamp":1542558266.4029,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"do we have open parser bugs for all the parsers that are doing the VCP pattern differently right now?","modes":["voice"]}
2018-11-18 16:24:33.464400 {"type":"message","timestamp":1542558273.4644,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"e.g. take this HTML, https:\/\/gist.githubusercontent.com\/aaronpk\/d0e1408cb22aab12686da4eb770c6c5f\/raw\/0fea4e56a9c0ef2cc2130710fd331fdffc675546\/gistfile1.txt","modes":["voice"]}
2018-11-18 16:24:40.514400 {"type":"message","timestamp":1542558280.5144,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"python -> https:\/\/python.microformats.io\/?url=https%3A%2F%2Fgist.githubusercontent.com%2Faaronpk%2Fd0e1408cb22aab12686da4eb770c6c5f%2Fraw%2F0fea4e56a9c0ef2cc2130710fd331fdffc675546%2Fgistfile1.txt&parser=html5lib","modes":["voice"]}
2018-11-18 16:24:42.194400 {"type":"message","timestamp":1542558282.1944,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"WordCamp Riverside","modes":[]}
2018-11-18 16:24:47.086300 {"type":"message","timestamp":1542558287.0863,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"php -> https:\/\/php.microformats.io\/?url=https%3A%2F%2Fgist.githubusercontent.com%2Faaronpk%2Fd0e1408cb22aab12686da4eb770c6c5f%2Fraw%2F0fea4e56a9c0ef2cc2130710fd331fdffc675546%2Fgistfile1.txt&parser=html5lib","modes":["voice"]}
2018-11-18 16:24:49.785400 {"type":"message","timestamp":1542558289.7854,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"WordCamp Riverside","modes":[]}
2018-11-18 16:25:02.471900 {"type":"message","timestamp":1542558302.4719,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"ruby -> https:\/\/ruby.microformats.io\/microformats?utf8=%E2%9C%93&url=https%3A%2F%2Fgist.githubusercontent.com%2Faaronpk%2Fd0e1408cb22aab12686da4eb770c6c5f%2Fraw%2F0fea4e56a9c0ef2cc2130710fd331fdffc675546%2Fgistfile1.txt","modes":["voice"]}
2018-11-18 16:25:04.480700 {"type":"message","timestamp":1542558304.4807,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"WordCamp Riverside","modes":[]}
2018-11-18 16:25:42.096000 {"type":"message","timestamp":1542558342.096,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"the start dates returned are: 2018-11-03 (python) 2018-11-03 10:00-0800 (php) 2018-11-03 10:00:00 (ruby)","modes":["voice"]}
2018-11-18 16:26:01.910300 {"type":"message","timestamp":1542558361.9103,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"end dates are: 11:00-8:00 (python) 11:00-8:00-0800 (php) 2018-11-18 11:00:00 (ruby)","modes":["voice"]}
2018-11-18 16:26:06.977300 {"type":"message","timestamp":1542558366.9773,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"they are all wrong in different ways","modes":["voice"]}
2018-11-18 16:27:36.513900 {"type":"message","timestamp":1542558456.5139,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"php gets the start date right, python the end","modes":["voice"]}
2018-11-18 16:27:37.404100 {"type":"message","timestamp":1542558457.4041,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"funny","modes":["voice"]}
2018-11-18 16:28:02.693200 {"type":"join","timestamp":1542558482.6932,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-11-18 16:28:51.194100 {"type":"message","timestamp":1542558531.1941,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"is that markup not correct to trigger the implied date on the dt-end?","modes":["voice"]}
2018-11-18 16:29:33.192000 {"type":"message","timestamp":1542558573.192,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"no, since dt-end isn't VCP","modes":["voice"]}
2018-11-18 16:30:01.200700 {"type":"message","timestamp":1542558601.2007,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"ugh I dont understand that pattern apparently","modes":["voice"]}
