2020-07-21 02:15:48.589600 {"type":"join","timestamp":1595297748.5896149,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"strugee","nickname":"strugee","username":"~strugee","name":"AJ Jordan","photo":"https:\/\/strugee.net\/images\/small-headshot.jpeg","url":"http:\/\/strugee.net","tz":"America\/Los_Angeles","host":"strugee.net"},"content":null,"modes":[]}
2020-07-21 11:24:08.287500 {"type":"join","timestamp":1595330648.2875154,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 11:24:08.861000 {"type":"message","timestamp":1595330648.860992,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"~slackuser","name":null,"photo":"https:\/\/twitter.com\/pfefferle\/profile_image","url":"http:\/\/Notiz.blog","tz":"Europe\/Berlin","host":"chat.indieweb.org"},"content":"[tantek] [aaronpk] found another page that isn\u2019t working any more http:\/\/microformats.org\/code\/hcard\/creator","modes":[]}
2020-07-21 11:32:38.096800 {"type":"message","timestamp":1595331158.096808,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":"same issue - it's at http:\/\/microformats.org\/code\/hcard\/creator.html","modes":[]}
2020-07-21 11:32:53.430100 {"type":"message","timestamp":1595331173.430136,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"Ryan King","modes":[]}
2020-07-21 11:33:45.585200 {"type":"message","timestamp":1595331225.58517,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307User:Pfefferle\u000314]]\u00034 !M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70223&oldid=66681&rcid=104646\u0003 \u00035*\u0003 \u000303Pfefferle\u0003 \u00035*\u0003 (-5) \u000310\u0003\n","modes":[]}
2020-07-21 11:46:33.411500 {"type":"message","timestamp":1595331993.4114811,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Zegnat","nickname":"Zegnat","username":"~Martijn","name":"Martijn van der Ven","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"Hmm, wonder if that shouldn\u2019t move somewhere else. Maybe so we can auto-deploy the generators GitHub repo and get it updated. Looks like there is actually a PR from 2018 slightly tweaking the hcard generator.","modes":[]}
2020-07-21 11:56:18.610100 {"type":"message","timestamp":1595332578.6101103,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"sure! but at least the old urls should redirect to the new ones.","modes":[]}
2020-07-21 12:49:49.911800 {"type":"message","timestamp":1595335789.9118376,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"GWG_","nickname":"GWG_","username":"~GWG","name":null,"photo":null,"url":null,"tz":null,"host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"Wasn't there recently talk of removing it or updating it for h-card?","modes":[]}
2020-07-21 13:14:48.607200 {"type":"join","timestamp":1595337288.6071818,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 13:41:36.727100 {"type":"message","timestamp":1595338896.7270982,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"Where are you finding those links from?","modes":["op"]}
2020-07-21 13:42:13.054800 {"type":"message","timestamp":1595338933.0548487,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"when I was looking at all the files on the server there was no indication that they were being served without the html extension so I never Webb thought to try that","modes":["op"]}
2020-07-21 15:11:16.118900 {"type":"join","timestamp":1595344276.11889,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 15:29:25.919600 {"type":"join","timestamp":1595345365.9195936,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":null,"photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-07-21 15:37:50.009100 {"type":"join","timestamp":1595345870.0091302,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 17:03:26.318100 {"type":"join","timestamp":1595351006.3180568,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"cjw6k","nickname":"cjw6k","username":"~cjw6k","name":null,"photo":null,"url":"http:\/\/cj.w6k.ca","tz":"America\/Halifax","host":"host-104-37-23-138.public.eastlink.ca"},"content":null,"modes":[]}
2020-07-21 17:23:42.247400 {"type":"message","timestamp":1595352222.2473814,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"lots of old links to the creators sprinkled across the web","modes":[]}
2020-07-21 17:24:04.603200 {"type":"message","timestamp":1595352244.6032155,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"and yes we launched microformats.org with particular attention to serving \"plain\" names like that without file extensions","modes":[]}
2020-07-21 17:24:40.706800 {"type":"message","timestamp":1595352280.7067597,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"anyway to set that as a default for all paths?","modes":[]}
2020-07-21 17:24:53.930800 {"type":"message","timestamp":1595352293.9307842,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"i.e. if there's no plain \/file then serve \/file.html ?","modes":[]}
2020-07-21 17:43:03.127600 {"type":"join","timestamp":1595353383.1276329,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Jose_Leiva]","nickname":"[Jose_Leiva]","username":"~slackuser","name":"Jose_Leiva via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 18:10:33.391400 {"type":"join","timestamp":1595355033.3914132,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tw2113]","nickname":"[tw2113]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/apiratelifefor.me","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 18:34:06.140800 {"type":"join","timestamp":1595356446.1407764,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:5990:93e:ba3b:8e0c:cba"},"content":null,"modes":[]}
2020-07-21 18:44:03.888000 {"type":"join","timestamp":1595357043.888012,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":null,"photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-07-21 19:37:43.144600 {"type":"join","timestamp":1595360263.1446064,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-07-21 19:37:43.882900 {"type":"message","timestamp":1595360263.8828633,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"~slackuser","name":null,"photo":"https:\/\/twitter.com\/pfefferle\/profile_image","url":"http:\/\/Notiz.blog","tz":"Europe\/Berlin","host":"chat.indieweb.org"},"content":"[aaronpk] I linked them long time ago in my blog and now I get a lot of dead link errors.","modes":[]}
2020-07-21 19:58:40.932200 {"type":"join","timestamp":1595361520.9321897,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
