2018-09-27 01:30:09.968300 {"type":"join","timestamp":1538011809.9683,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":null,"photo":"https:\/\/eddiehinkle.com\/images\/profile.jpg","url":"http:\/\/eddiehinkle.com","tz":"US\/Eastern"},"content":null,"modes":[]}
2018-09-27 03:11:39.243900 {"type":"message","timestamp":1538017899.2439,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT"},"content":"You can leave it. We have full control of space and 24 hour security","modes":["voice"]}
2018-09-27 03:12:21.023100 {"type":"message","timestamp":1538017941.0231,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-125.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York"},"content":"I meant not bothering to bring it early. I will just bring my laptop tomorrow","modes":["voice"]}
2018-09-27 03:27:11.700300 {"type":"message","timestamp":1538018831.7003,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u0003072018\/NYC\/Leaders\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52048&oldid=52042&rcid=51919\u0003 \u00035*\u0003 \u000303Martymcgui.re\u0003 \u00035*\u0003 (+105) \u000310\/* Where *\/ minimal breakfast info\u0003\n","modes":[]}
2018-09-27 03:28:37.816300 {"type":"message","timestamp":1538018917.8163,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u0003072018\/NYC\/Leaders\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52049&oldid=52048&rcid=51920\u0003 \u00035*\u0003 \u000303Gregorlove.com\u0003 \u00035*\u0003 (+97) \u000310\/* Schedule *\/ breakfast\u0003\n","modes":[]}
2018-09-27 03:31:03.032000 {"type":"message","timestamp":1538019063.032,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u0003072018\/NYC\/Leaders\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52050&oldid=52049&rcid=51921\u0003 \u00035*\u0003 \u000303Martymcgui.re\u0003 \u00035*\u0003 (+104) \u000310\/* What *\/ working link for surviving poisonous people talk\u0003\n","modes":[]}
2018-09-27 05:30:01.271600 {"type":"join","timestamp":1538026201.2716,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"tantek__","nickname":"tantek__","username":"aed7292b","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-27 06:14:03.741300 {"type":"message","timestamp":1538028843.7413,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u0003072018\/NYC\/Leaders\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52051&oldid=52050&rcid=51922\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+66) \u000310\/* Remote Participation *\/ chrisaldrich\u0003\n","modes":[]}
2018-09-27 09:40:36.790200 {"type":"join","timestamp":1538041236.7902,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-09-27 09:41:49.221200 {"type":"message","timestamp":1538041309.2212,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":"Known channel has some odd botversations going on","modes":["voice"]}
2018-09-27 10:23:40.516400 {"type":"join","timestamp":1538043820.5164,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT"},"content":null,"modes":[]}
2018-09-27 10:32:50.494100 {"type":"join","timestamp":1538044370.4941,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"US\/Pacific"},"content":null,"modes":[]}
2018-09-27 11:44:28.882600 {"type":"message","timestamp":1538048668.8826,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u0003072018\/NYC\/Leaders\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52052&oldid=52051&rcid=51923\u0003 \u00035*\u0003 \u000303Www.svenknebel.de\u0003 \u00035*\u0003 (-39) \u000310\/* Remote Participation *\/ doesn't look like I'll have time\u0003\n","modes":[]}
