2020-05-27 00:19:01.006300 {"type":"join","timestamp":1590538741.0062804,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:1112:6642:c737:f855"},"content":null,"modes":[]}
2020-05-27 01:55:11.213800 {"type":"message","timestamp":1590544511.2138245,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"ooh","modes":[]}
2020-05-27 01:55:14.089200 {"type":"message","timestamp":1590544514.0892432,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"\/me clicks","modes":[]}
2020-05-27 01:55:29.674600 {"type":"message","timestamp":1590544529.6746142,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"ah I see","modes":[]}
2020-05-27 01:55:33.656800 {"type":"message","timestamp":1590544533.6567733,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"_very_ down for this","modes":[]}
2020-05-27 01:58:40.459800 {"type":"message","timestamp":1590544720.4598083,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"It's gonna be a lot of installing Wordpress and mediawiki and plugins and testing import scripts fair warning","modes":["op"]}
2020-05-27 01:59:28.722700 {"type":"message","timestamp":1590544768.722686,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"that sounds not bad (already is looking at vagrant setups for mediawiki)","modes":[]}
2020-05-27 01:59:51.228700 {"type":"message","timestamp":1590544791.228703,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"looks like there's a canonical setup for it https:\/\/www.mediawiki.org\/wiki\/MediaWiki-Vagrant","modes":[]}
2020-05-27 02:01:14.608500 {"type":"message","timestamp":1590544874.6084847,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"only because vagrant is more sensible for dev than docker","modes":[]}
2020-05-27 02:01:28.913100 {"type":"message","timestamp":1590544888.9130502,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"and will potentially mirror whatever the prod setup will look like","modes":[]}
2020-05-27 02:04:24.847500 {"type":"message","timestamp":1590545064.8474813,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"(doesn't want to break prod lol)","modes":[]}
2020-05-27 02:06:23.605600 {"type":"message","timestamp":1590545183.6056166,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"which weekend works for you (this one is crowded for me)","modes":[]}
2020-05-27 02:20:35.135300 {"type":"message","timestamp":1590546035.1353383,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"I'm flexible!","modes":["op"]}
2020-05-27 02:20:39.332900 {"type":"message","timestamp":1590546039.3329425,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"June 6-7?","modes":["op"]}
2020-05-27 02:20:58.958000 {"type":"message","timestamp":1590546058.9580333,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"I mean I could even do a Monday or Friday too","modes":["op"]}
2020-05-27 02:21:15.987500 {"type":"join","timestamp":1590546075.987483,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-27 02:21:16.652400 {"type":"message","timestamp":1590546076.6523623,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":"And my axe! (If you can use a third)","modes":[]}
2020-05-27 02:22:36.524000 {"type":"message","timestamp":1590546156.5239708,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"oo","modes":["op"]}
2020-05-27 02:26:30.819100 {"type":"message","timestamp":1590546390.819085,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":"(Haha a third with a streaming setup as well if those are the stakes!)","modes":[]}
2020-05-27 02:33:45.912500 {"type":"message","timestamp":1590546825.9125385,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"those are in fact the stakes","modes":["op"]}
2020-05-27 02:35:14.375800 {"type":"message","timestamp":1590546914.375795,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"\/me checks the time window","modes":[]}
2020-05-27 02:35:23.454500 {"type":"message","timestamp":1590546923.4544795,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"that works for me!","modes":[]}
2020-05-27 03:02:49.114700 {"type":"message","timestamp":1590548569.114698,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"I kinda enjoy testing the limits of the mf2 parser I'm using in elixir","modes":[]}
2020-05-27 03:03:04.079000 {"type":"message","timestamp":1590548584.0790155,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"but it's making me realize it's not feature complete :(","modes":[]}
