2012-12-09 00:59:56.000000 {"type":"join","timestamp":"1355014796.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2012-12-09 11:09:01.000000 {"type":"message","timestamp":"1355051341.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Peygamber Efendimiz Namaz K\u00c4\u00b1larken Secdeye www.toronto-boudoir-photography.com Yatm\u00c4\u00b1\u00c5\u0178 Bu Arada Hz H\u00fcseyin ve Hz Hasan Oyun Oynarlarken Secdeye\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Peygamber_Efendimiz_Namaz_K%C4%B1larken_Secdeye_www.toronto-boudoir-photography.com_Yatm%C4%B1%C5%9F_Bu_Arada_Hz_H%C3%BCseyin_ve_Hz_Hasan_Oyun_Oynarlarken_Secdeye&rcid=65680\u0003 \u00035*\u0003 \u000303ManuelaMadrid\u0003 \u00035*\u0003 (+1418) \u000310New page: [[Image:www.toronto-boudoir-photography.com_2798.jpg|thumb|]]  pra todos n\u00f3s!! Bjss nope Bora mine!!!! sisterly love hahaha funny :) I feel like I've woken up with suddenly more facial ha...\u0003"}
2012-12-09 11:24:28.000000 {"type":"join","timestamp":"1355052268.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"xtof_fr","nickname":"xtof_fr","name":"xtof_fr","username":null},"content":"xtof_fr joined #microformats"}
2012-12-09 12:03:20.000000 {"type":"join","timestamp":"1355054600.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"xtof_fr","nickname":"xtof_fr","name":"xtof_fr","username":null},"content":"xtof_fr joined #microformats"}
2012-12-09 12:22:08.000000 {"type":"message","timestamp":"1355055728.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Se apaga una Vida Inocente llena de sue\u00f1os y metas por cumplir Karla Michelle Ojal\u00e1 seas Lecci\u00f3n de Vida para los que apagaron Toronto sony computer repairs centres la tuya\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Se_apaga_una_Vida_Inocente_llena_de_sue%C3%B1os_y_metas_por_cumplir_Karla_Michelle_Ojal%C3%A1_seas_Lecci%C3%B3n_de_Vida_para_los_que_apagaron_Toronto_sony_computer_repairs_centres_la_tuya&rcid=65681\u0003 \u00035*\u0003 \u000303AbbieReyes4\u0003 \u00035*\u0003 (+1854) \u000310New page: [[Image:Toronto_sony_computer_repairs_centres_4383.jpg|thumb|]]  Shorty so nice, I don't mean polite When I say nice, I mean lookin right nada amor precisando so chamar amoor lol yep DeSea...\u0003"}
2012-12-09 12:25:55.000000 {"type":"join","timestamp":"1355055955.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2012-12-09 12:52:54.000000 {"type":"message","timestamp":"1355057574.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:ChantalGomes5\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-12-09 12:53:18.000000 {"type":"message","timestamp":"1355057598.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302I think I started last night tho DJs In Chicago\u000310]]\": content was spam\u0003"}
2012-12-09 12:53:39.000000 {"type":"message","timestamp":"1355057619.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:ManuelaMadrid\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-12-09 12:53:57.000000 {"type":"message","timestamp":"1355057637.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302Peygamber Efendimiz Namaz K\u00c4\u00b1larken Secdeye www.toronto-boudoir-photography.com Yatm\u00c4\u00b1\u00c5\u0178 Bu Arada Hz H\u00fcseyin ve Hz Hasan Oyun Oynarlarken Secdeye\u000310]]\": content was spam\u0003"}
2012-12-09 12:54:16.000000 {"type":"message","timestamp":"1355057656.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:AbbieReyes4\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-12-09 12:54:35.000000 {"type":"message","timestamp":"1355057675.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303ChristopheDucamp\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302Se apaga una Vida Inocente llena de sue\u00f1os y metas por cumplir Karla Michelle Ojal\u00e1 seas Lecci\u00f3n de Vida para los que apagaron Toronto sony computer repairs centres la tuya\u000310]]\": content was spam\u0003"}
2012-12-09 13:47:27.000000 {"type":"message","timestamp":"1355060847.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/AmitV_Tweets :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 14:51:25.000000 {"type":"message","timestamp":"1355064685.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/netster23 :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonbloggers"}
2012-12-09 15:04:41.000000 {"type":"join","timestamp":"1355065481.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"manu1","nickname":"manu1","name":"manu1","username":null},"content":"manu1 joined #microformats"}
2012-12-09 15:10:16.000000 {"type":"join","timestamp":"1355065816.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2012-12-09 15:15:30.000000 {"type":"join","timestamp":"1355066130.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2012-12-09 16:26:25.000000 {"type":"join","timestamp":"1355070385.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2012-12-09 17:23:21.000000 {"type":"join","timestamp":"1355073801.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"encolpe","nickname":"encolpe","name":"encolpe","username":null},"content":"encolpe joined #microformats"}
2012-12-09 17:25:21.000000 {"type":"join","timestamp":"1355073921.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2012-12-09 17:31:28.000000 {"type":"join","timestamp":"1355074288.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"brennannovak","nickname":"brennannovak","name":"brennannovak","username":null},"content":"brennannovak joined #microformats"}
2012-12-09 17:33:18.000000 {"type":"message","timestamp":"1355074398.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/tonygreene113 :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 17:49:12.000000 {"type":"message","timestamp":"1355075352.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/TiborShanto :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 17:50:38.000000 {"type":"message","timestamp":"1355075438.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307How you can Relieve A Cough1759008\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=How_you_can_Relieve_A_Cough1759008&rcid=65688\u0003 \u00035*\u0003 \u000303NoblegftwszlhxmGewant\u0003 \u00035*\u0003 (+709) \u000310New page: Cough is primarily the human body's pure reflex to the irritation in your throat region. You can find two sorts of cough - 1 which can be wet cough and commonly related with mucus (product...\u0003"}
2012-12-09 18:33:43.000000 {"type":"join","timestamp":"1355078023.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"zztr","nickname":"zztr","name":"zztr","username":null},"content":"zztr joined #microformats"}
2012-12-09 18:51:30.000000 {"type":"message","timestamp":"1355079090.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/Jason__Ramsey :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 20:02:46.000000 {"type":"message","timestamp":"1355083366.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Find the hottest Designer Sunglasses from the Great Britain\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Find_the_hottest_Designer_Sunglasses_from_the_Great_Britain&rcid=65689\u0003 \u00035*\u0003 \u000303Bkenneth30\u0003 \u00035*\u0003 (+3470) \u000310Sunglasses are a great strategy to showcase one\u2019s fashion. Aside from its authentic intent of shielding and protecting the eyes from sunlight, sunglasses are actually a timeless accessory that a whole lot of individuals can\u2019t dwell with out. Via \u0003"}
2012-12-09 20:38:41.000000 {"type":"join","timestamp":"1355085521.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"romainneutron","nickname":"romainneutron","name":"romainneutron","username":null},"content":"romainneutron joined #microformats"}
2012-12-09 20:52:11.000000 {"type":"join","timestamp":"1355086331.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris_","nickname":"tommorris_","name":"tommorris_","username":null},"content":"tommorris_ joined #microformats"}
2012-12-09 21:05:16.000000 {"type":"join","timestamp":"1355087116.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"grosroro","nickname":"grosroro","name":"grosroro","username":null},"content":"grosroro joined #microformats"}
2012-12-09 21:11:29.000000 {"type":"join","timestamp":"1355087489.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"benward_","nickname":"benward_","name":"benward_","username":null},"content":"benward_ joined #microformats"}
2012-12-09 21:14:21.000000 {"type":"join","timestamp":"1355087661.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"NimeshNeema","nickname":"NimeshNeema","name":"NimeshNeema","username":null},"content":"NimeshNeema joined #microformats"}
2012-12-09 21:54:13.000000 {"type":"join","timestamp":"1355090053.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"romainneutron","nickname":"romainneutron","name":"romainneutron","username":null},"content":"romainneutron joined #microformats"}
2012-12-09 22:34:50.000000 {"type":"message","timestamp":"1355092490.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Roof Repair - Why Repair Your Roof After a Long Winter?5695330\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Roof_Repair_-_Why_Repair_Your_Roof_After_a_Long_Winter%3F5695330&rcid=65690\u0003 \u00035*\u0003 \u000303BrooksdftwjfhxmcNewill\u0003 \u00035*\u0003 (+3052) \u000310New page: Every winter, your roof gets bombarded with wind, snow, ice and continual thaw-freeze conditions. This can result in severe and often hidden damage to the roof. Your roof can then leak dur...\u0003"}
2012-12-09 23:22:10.000000 {"type":"message","timestamp":"1355095330.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Wichita Kansas Roofing Contractors - Finding The Ones Who Will Do A Good Job3505717\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=Wichita_Kansas_Roofing_Contractors_-_Finding_The_Ones_Who_Will_Do_A_Good_Job3505717&rcid=65691\u0003 \u00035*\u0003 \u000303BrooksdftwjfhxmcNewill\u0003 \u00035*\u0003 (+5262) \u000310New page: TThe sunny state of Kansas is considered as one of the most or tornado-prone areas in the Continental United States. Given this, it is imperative for many homeowners and builders to consid...\u0003"}
2012-12-09 23:23:29.000000 {"type":"join","timestamp":"1355095409.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Phae_","nickname":"Phae_","name":"Phae_","username":null},"content":"Phae_ joined #microformats"}
