2025-01-19 00:32:26.112300 {"type":"join","timestamp":1737246746.1123426,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"njd","nickname":"njd","username":"~njd","name":null,"photo":null,"url":null,"tz":null,"host":"104.248.191.35"},"content":null,"modes":[]}
2025-01-19 03:15:01.941200 {"type":"message","timestamp":1737256501.941217,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"[morganm]: ooh nice","modes":[]}
2025-01-19 03:15:12.456500 {"type":"message","timestamp":1737256512.456469,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"are you using Syncthing?","modes":[]}
2025-01-19 03:15:21.758200 {"type":"message","timestamp":1737256521.75816,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"or doing it via Obsidian Sync","modes":[]}
2025-01-19 03:16:47.619400 {"type":"message","timestamp":1737256607.619372,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"the Obsidian forums has notes about using SyncThing for Android etc if paying for Obsidian Sync isn't your thing \ud83d\ude04","modes":[]}
2025-01-19 03:19:04.357200 {"type":"message","timestamp":1737256744.3571992,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"https:\/\/github.com\/xuid0\/digitalgarden","modes":[]}
2025-01-19 03:19:05.872700 {"type":"message","timestamp":1737256745.8727157,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"[edit] https:\/\/github.com\/xuid0\/digitalgarden","modes":[]}
2025-01-19 03:19:26.255700 {"type":"message","timestamp":1737256766.2556515,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"its based on https:\/\/dg-docs.ole.dev","modes":[]}
2025-01-19 04:00:29.321700 {"type":"join","timestamp":1737259229.3216836,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"grufwub","nickname":"grufwub","username":"~grufwub","name":"grufwub","photo":null,"url":null,"tz":null,"host":"user\/grufwub"},"content":null,"modes":[]}
2025-01-19 04:17:45.533800 {"type":"join","timestamp":1737260265.5337727,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 04:44:46.330000 {"type":"join","timestamp":1737261886.33004,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 06:03:00.853400 {"type":"join","timestamp":1737266580.8534014,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"distopico","nickname":"distopico","username":"~cerdolibr","name":null,"photo":null,"url":null,"tz":null,"host":"xvm-111-150.dc2.ghst.net"},"content":null,"modes":[]}
2025-01-19 06:12:35.618400 {"type":"join","timestamp":1737267155.618392,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"khrome","nickname":"khrome","username":"~khrome","name":null,"photo":null,"url":null,"tz":null,"host":"c-73-229-196-217.hsd1.co.comcast.net"},"content":null,"modes":[]}
2025-01-19 08:56:54.527900 {"type":"join","timestamp":1737277014.5278878,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aelaraji8","nickname":"aelaraji8","username":"~skinshafi","name":null,"photo":null,"url":null,"tz":null,"host":"user\/skinshafi"},"content":null,"modes":[]}
2025-01-19 10:51:01.211200 {"type":"join","timestamp":1737283861.2111726,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"khrome","nickname":"khrome","username":"~khrome","name":null,"photo":null,"url":null,"tz":null,"host":"c-73-229-196-217.hsd1.co.comcast.net"},"content":null,"modes":[]}
2025-01-19 11:36:22.310700 {"type":"join","timestamp":1737286582.3107214,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jak2k","nickname":"jak2k","username":"~jak2k","name":null,"photo":null,"url":null,"tz":null,"host":"user\/Jak2k"},"content":null,"modes":[]}
2025-01-19 12:44:18.492800 {"type":"join","timestamp":1737290658.492784,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 13:00:17.388900 {"type":"join","timestamp":1737291617.3889213,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ttybitnik","nickname":"ttybitnik","username":"ttybitnik","name":"Outis","photo":null,"url":null,"tz":null,"host":"user\/wolper"},"content":null,"modes":[]}
2025-01-19 13:23:56.196800 {"type":"join","timestamp":1737293036.1967654,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jak2k","nickname":"jak2k","username":"~jak2k","name":null,"photo":null,"url":null,"tz":null,"host":"user\/Jak2k"},"content":null,"modes":[]}
2025-01-19 15:20:57.264600 {"type":"join","timestamp":1737300057.2646117,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"plantroon","nickname":"plantroon","username":"~plantroon","name":null,"photo":null,"url":null,"tz":null,"host":"ip-046-223-162-157.um13.pools.vodafone-ip.de"},"content":null,"modes":[]}
2025-01-19 15:30:32.425300 {"type":"join","timestamp":1737300632.425312,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"plantroon","nickname":"plantroon","username":"~plantroon","name":null,"photo":null,"url":null,"tz":null,"host":"ip-046-223-162-157.um13.pools.vodafone-ip.de"},"content":null,"modes":[]}
2025-01-19 15:36:37.429400 {"type":"join","timestamp":1737300997.4293983,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"plantroon","nickname":"plantroon","username":"~plantroon","name":null,"photo":null,"url":null,"tz":null,"host":"ip-046-223-162-157.um13.pools.vodafone-ip.de"},"content":null,"modes":[]}
2025-01-19 15:59:00.669800 {"type":"join","timestamp":1737302340.6698494,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"oenone","nickname":"oenone","username":"~oenone","name":"Julian","photo":null,"url":null,"tz":null,"host":"vgai.de"},"content":null,"modes":[]}
