2013-02-19 00:18:39.000000 {"type":"join","timestamp":"1361233119.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"zztr","nickname":"zztr","name":"zztr","username":null},"content":"zztr joined #indiewebcamp"}
2013-02-19 05:39:36.000000 {"type":"join","timestamp":"1361252376.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
2013-02-19 05:41:51.000000 {"type":"join","timestamp":"1361252511.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 06:28:07.000000 {"type":"join","timestamp":"1361255287.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 06:49:21.000000 {"type":"join","timestamp":"1361256561.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 07:05:17.000000 {"type":"join","timestamp":"1361257517.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"hadleybeeman","nickname":"hadleybeeman","name":"hadleybeeman","username":null},"content":"hadleybeeman joined #indiewebcamp"}
2013-02-19 07:08:14.000000 {"type":"join","timestamp":"1361257694.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"jancborchardt","nickname":"jancborchardt","name":"jancborchardt","username":null},"content":"jancborchardt joined #indiewebcamp"}
2013-02-19 07:33:37.000000 {"type":"join","timestamp":"1361259217.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
2013-02-19 07:43:50.000000 {"type":"join","timestamp":"1361259830.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 07:57:11.000000 {"type":"join","timestamp":"1361260631.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"samobk","nickname":"samobk","name":"samobk","username":null},"content":"samobk joined #indiewebcamp"}
2013-02-19 08:48:41.000000 {"type":"join","timestamp":"1361263721.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Phae","nickname":"Phae","name":"Phae","username":null},"content":"Phae joined #indiewebcamp"}
2013-02-19 08:58:38.000000 {"type":"join","timestamp":"1361264318.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #indiewebcamp"}
2013-02-19 09:14:13.000000 {"type":"join","timestamp":"1361265253.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 09:41:31.000000 {"type":"join","timestamp":"1361266891.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"friedcell","nickname":"friedcell","name":"friedcell","username":null},"content":"friedcell joined #indiewebcamp"}
2013-02-19 10:05:00.000000 {"type":"join","timestamp":"1361268300.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Stevef","nickname":"Stevef","name":"Stevef","username":null},"content":"Stevef joined #indiewebcamp"}
2013-02-19 10:39:04.000000 {"type":"join","timestamp":"1361270344.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
2013-02-19 10:53:26.000000 {"type":"join","timestamp":"1361271206.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 12:07:00.000000 {"type":"join","timestamp":"1361275620.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Stevef","nickname":"Stevef","name":"Stevef","username":null},"content":"Stevef joined #indiewebcamp"}
2013-02-19 12:21:39.000000 {"type":"message","timestamp":"1361276499.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"3 files modified in aaronpk\/Pingback\/master by aaronpk https:\/\/github.com\/aaronpk\/Pingback\/compare\/5dc156ae9988...701e712acee2"}
2013-02-19 12:21:39.000000 {"type":"message","timestamp":"1361276499.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"aaronpk: Adds an endpoint for converting Pingbacks to WebMentions"}
2013-02-19 12:28:56.000000 {"type":"message","timestamp":"1361276936.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"1 files modified in aaronpk\/Pingback\/master by aaronpk https:\/\/github.com\/aaronpk\/Pingback\/compare\/701e712acee2...9459a9dee682"}
2013-02-19 12:28:56.000000 {"type":"message","timestamp":"1361276936.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"aaronpk: better error handling"}
2013-02-19 12:32:01.000000 {"type":"message","timestamp":"1361277121.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307MediaWiki:Sidebar\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1950&oldid=794&rcid=2031\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+35) \u000310\u0003"}
2013-02-19 12:32:59.000000 {"type":"message","timestamp":"1361277179.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1951&oldid=1941&rcid=2032\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+11) \u000310\/* How do I test sending pingbacks? *\/ \u0003"}
2013-02-19 12:33:53.000000 {"type":"message","timestamp":"1361277233.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1952&oldid=1951&rcid=2033\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+117) \u000310\/* See Also *\/ \u0003"}
2013-02-19 12:38:03.000000 {"type":"message","timestamp":"1361277483.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback.me\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1953&oldid=1856&rcid=2034\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+505) \u000310\u0003"}
2013-02-19 12:41:11.000000 {"type":"message","timestamp":"1361277671.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback.me\u000314]]\u00034 M\u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1954&oldid=1953&rcid=2035\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (-11) \u000310\/* API to get a list of sites linking to your pages *\/ \u0003"}
2013-02-19 12:41:54.000000 {"type":"join","timestamp":"1361277714.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 12:42:10.000000 {"type":"message","timestamp":"1361277730.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback.me\u000314]]\u00034 M\u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1955&oldid=1954&rcid=2036\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+0) \u000310\/* Converts Pingbacks to WebMentions *\/ \u0003"}
2013-02-19 12:42:28.000000 {"type":"message","timestamp":"1361277748.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307pingback\u000314]]\u00034 M\u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1956&oldid=1952&rcid=2037\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (-11) \u000310\/* How do I test sending pingbacks? *\/ \u0003"}
2013-02-19 12:43:28.000000 {"type":"message","timestamp":"1361277808.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307webmention\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1957&oldid=1940&rcid=2038\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+65) \u000310\/* See Also *\/ \u0003"}
2013-02-19 12:46:57.000000 {"type":"message","timestamp":"1361278017.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"hi all, looking for feedback on my edits to webmention: https:\/\/github.com\/aaronpk\/webmention\/commit\/2c4b6cd9a9f4d4a2b4e3c1002cdde7cad35c9fbc"}
2013-02-19 12:47:31.000000 {"type":"message","timestamp":"1361278051.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"I'm trying to define the success\/error responses a little more"}
2013-02-19 12:48:26.000000 {"type":"message","timestamp":"1361278106.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307MediaWiki:Sidebar\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1958&oldid=1950&rcid=2039\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+2) \u000310\u0003"}
2013-02-19 12:48:45.000000 {"type":"message","timestamp":"1361278125.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307MediaWiki:Sidebar\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1959&oldid=1958&rcid=2040\u0003 \u00035*\u0003 \u000303Aaronparecki.com\u0003 \u00035*\u0003 (+0) \u000310\u0003"}
2013-02-19 12:56:55.000000 {"type":"join","timestamp":"1361278615.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"samobk","nickname":"samobk","name":"samobk","username":null},"content":"samobk joined #indiewebcamp"}
2013-02-19 13:25:12.000000 {"type":"join","timestamp":"1361280312.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"mxuribe","nickname":"mxuribe","name":"mxuribe","username":null},"content":"mxuribe joined #indiewebcamp"}
2013-02-19 13:29:46.000000 {"type":"join","timestamp":"1361280586.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"friedcell","nickname":"friedcell","name":"friedcell","username":null},"content":"friedcell joined #indiewebcamp"}
2013-02-19 13:40:07.000000 {"type":"join","timestamp":"1361281207.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 14:32:31.000000 {"type":"join","timestamp":"1361284351.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #indiewebcamp"}
2013-02-19 15:08:05.000000 {"type":"message","timestamp":"1361286485.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307MediaWiki:Sidebar\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1960&oldid=1959&rcid=2041\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+0) \u000310get started, setup your domain\u0003"}
2013-02-19 15:32:52.000000 {"type":"message","timestamp":"1361287972.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307code-of-conduct\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1961&oldid=1949&rcid=2042\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+18) \u000310\/* religion *\/ (or lack thereof)\u0003"}
2013-02-19 15:33:20.000000 {"type":"message","timestamp":"1361288000.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307code-of-conduct\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1962&oldid=1961&rcid=2043\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (-10) \u000310good enough to no longer be a stub\u0003"}
2013-02-19 15:36:17.000000 {"type":"message","timestamp":"1361288177.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"Hmm. IWC site is being strangely unresponsive on hotel wifi"}
2013-02-19 15:41:06.000000 {"type":"join","timestamp":"1361288466.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 16:04:38.000000 {"type":"join","timestamp":"1361289878.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"andreypopp","nickname":"andreypopp","name":"andreypopp","username":null},"content":"andreypopp joined #indiewebcamp"}
2013-02-19 16:05:18.000000 {"type":"message","timestamp":"1361289918.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":":("}
2013-02-19 16:05:22.000000 {"type":"message","timestamp":"1361289922.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"too many css files?"}
2013-02-19 16:20:35.000000 {"type":"message","timestamp":"1361290835.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"speaking of unresponsive and css, aaronpk, we have to do something about the fixed width layout of indiewebcamp.com"}
2013-02-19 16:21:33.000000 {"type":"message","timestamp":"1361290893.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"even if all we do is change use of \"width\" to \"max-width\", that would help with narrower windows, smaller devices etc."}
2013-02-19 16:21:37.000000 {"type":"message","timestamp":"1361290897.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"make the layout more liquid"}
2013-02-19 16:23:43.000000 {"type":"join","timestamp":"1361291023.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"lmorchard","nickname":"lmorchard","name":"lmorchard","username":null},"content":"lmorchard joined #indiewebcamp"}
2013-02-19 16:23:50.000000 {"type":"message","timestamp":"1361291030.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"can't seem to find where the body width is set :("}
2013-02-19 16:24:54.000000 {"type":"message","timestamp":"1361291094.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tried looking in main.css but no luck"}
2013-02-19 16:32:16.000000 {"type":"message","timestamp":"1361291536.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"found it!"}
2013-02-19 16:35:25.000000 {"type":"message","timestamp":"1361291725.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"aaronpk - looks like it takes two changes to fix the CSS so that the pages can shrink at least a little bit."}
2013-02-19 16:35:54.000000 {"type":"message","timestamp":"1361291754.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"1. in gumax_cyborg.css, change \"width: 977px\" to \"max-width: 977px\""}
2013-02-19 16:36:30.000000 {"type":"message","timestamp":"1361291790.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"2. in gumax_template.css, comment out like this: \/* width: 777px *\/"}
2013-02-19 16:37:36.000000 {"type":"message","timestamp":"1361291856.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"that will give at least a bit of a range of liquid layout so we can avoid some horizontal scrollbars (and line lengths that are too long for optimal reading)."}
2013-02-19 16:40:55.000000 {"type":"message","timestamp":"1361292055.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"full paths:"}
2013-02-19 16:41:03.000000 {"type":"message","timestamp":"1361292063.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"http:\/\/indiewebcamp.com\/wiki\/skins\/indieweb\/styles\/gumax_cyborg\/gumax_cyborg.css"}
2013-02-19 16:41:05.000000 {"type":"message","timestamp":"1361292065.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"and"}
2013-02-19 16:41:19.000000 {"type":"message","timestamp":"1361292079.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"http:\/\/indiewebcamp.com\/wiki\/skins\/indieweb\/gumax_template.css"}
2013-02-19 16:59:45.000000 {"type":"join","timestamp":"1361293185.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 16:59:45.000000 {"type":"join","timestamp":"1361293185.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 17:04:33.000000 {"type":"join","timestamp":"1361293473.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"morrocco_mole","nickname":"morrocco_mole","name":"morrocco_mole","username":null},"content":"morrocco_mole joined #indiewebcamp"}
