2021-07-31 00:38:37.953800 {"type":"join","timestamp":1627691917.953846,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jetpack","nickname":"jetpack","username":"~jetpack","name":"Mr. Pack","photo":null,"url":null,"tz":null,"host":"2605:2700:1:100e:ddb4:196e:c17a:3b92"},"content":null,"modes":[]}
2021-07-31 03:35:03.136200 {"type":"join","timestamp":1627702503.1361873,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"alex11","nickname":"alex11","username":"~alex11","name":"your worst nightmare","photo":null,"url":null,"tz":null,"host":"user\/alex11"},"content":null,"modes":[]}
2021-07-31 03:39:28.321900 {"type":"join","timestamp":1627702768.321926,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"73.93.153.104"},"content":null,"modes":[]}
2021-07-31 03:39:28.397600 {"type":"join","timestamp":1627702768.397635,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"73.93.153.104"},"content":null,"modes":[]}
2021-07-31 03:41:04.302500 {"type":"join","timestamp":1627702864.3025453,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"P1000","nickname":"P1000","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 03:44:25.839600 {"type":"message","timestamp":1627703065.839561,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"P1000","nickname":"P1000","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"Are there any recent videos\/tutorials on how to get started with indieweb?","modes":["voice"]}
2021-07-31 03:52:12.546200 {"type":"message","timestamp":1627703532.5461507,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"user\/jackyalcine"},"content":"what are videos","modes":["voice"]}
2021-07-31 03:52:12.933600 {"type":"message","timestamp":1627703532.9336112,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"video is a type of post where the primary content is a video file (recorded movie, animation etc.) typically with audio, and has growing support on the indie web https:\/\/indieweb.org\/Videos","modes":[]}
2021-07-31 03:52:16.467700 {"type":"message","timestamp":1627703536.4676976,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"user\/jackyalcine"},"content":"wait no","modes":["voice"]}
2021-07-31 03:52:19.547900 {"type":"message","timestamp":1627703539.5479112,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"user\/jackyalcine"},"content":"what is Getting Started","modes":["voice"]}
2021-07-31 03:52:19.877000 {"type":"message","timestamp":1627703539.876992,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"Get started on the indieweb by connecting with the indiewebcamp community, getting a personal domain, a place for your content, and setting up your home page and other indieweb essentials https:\/\/indieweb.org\/Getting_Started","modes":[]}
2021-07-31 03:52:28.071000 {"type":"message","timestamp":1627703548.0709505,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"jacky","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"user\/jackyalcine"},"content":"oh they've left :\/","modes":["voice"]}
2021-07-31 05:13:38.441000 {"type":"message","timestamp":1627708418.4410043,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"alex11","nickname":"alex11","username":"~alex11","name":"your worst nightmare","photo":null,"url":null,"tz":null,"host":"user\/alex11"},"content":"no they didn't","modes":[]}
2021-07-31 06:08:16.311400 {"type":"join","timestamp":1627711696.3114145,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"just-me","nickname":"just-me","username":"~just-me","name":null,"photo":null,"url":null,"tz":null,"host":"88.230.135.47"},"content":null,"modes":[]}
2021-07-31 06:38:47.038700 {"type":"join","timestamp":1627713527.0386777,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"justache","nickname":"justache","username":"~justache","name":"justache","photo":null,"url":null,"tz":null,"host":"user\/justache"},"content":null,"modes":[]}
2021-07-31 06:41:43.222400 {"type":"join","timestamp":1627713703.222403,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 07:34:44.202000 {"type":"join","timestamp":1627716884.2020352,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"neceve","nickname":"neceve","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2a02:c7f:607e:d600:f762:20dd:304e:4b1f"},"content":null,"modes":[]}
2021-07-31 08:05:20.235300 {"type":"join","timestamp":1627718720.2353454,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[schmarty]1","nickname":"[schmarty]1","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 08:05:20.317200 {"type":"join","timestamp":1627718720.3172128,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Jimmy1","nickname":"Jimmy1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 08:05:46.296600 {"type":"join","timestamp":1627718746.2965806,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tw2113_Slack_]1","nickname":"[tw2113_Slack_]1","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 08:05:53.803900 {"type":"join","timestamp":1627718753.8038528,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hendursa1","nickname":"hendursa1","username":"~weechat","name":"weechat","photo":null,"url":null,"tz":null,"host":"user\/hendursaga"},"content":null,"modes":[]}
2021-07-31 09:10:03.018200 {"type":"join","timestamp":1627722603.0182498,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"neceve","nickname":"neceve","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2a02:c7f:607e:d600:f762:20dd:304e:4b1f"},"content":null,"modes":[]}
2021-07-31 10:13:19.001200 {"type":"join","timestamp":1627726399.0012207,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Jad","nickname":"Jad","username":"~Nashmi","name":null,"photo":null,"url":null,"tz":null,"host":"user\/jad"},"content":null,"modes":[]}
2021-07-31 13:26:04.699900 {"type":"join","timestamp":1627737964.6998858,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"n8chz","nickname":"n8chz","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"c-24-127-65-193.hsd1.mi.comcast.net"},"content":null,"modes":[]}
