2014-12-18 00:15:49.316000 {"type":"join","timestamp":"1418861749.316000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"edsu","nickname":"edsu","name":"edsu","username":null},"content":"edsu joined #microformats"}
2014-12-18 10:17:05.687000 {"type":"join","timestamp":"1418897825.687000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 10:43:27.514000 {"type":"join","timestamp":"1418899407.514000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-12-18 11:09:29.111000 {"type":"join","timestamp":"1418900969.111000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2014-12-18 11:14:22.183000 {"type":"join","timestamp":"1418901262.183000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 11:27:13.473000 {"type":"join","timestamp":"1418902033.473000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 12:55:37.225000 {"type":"join","timestamp":"1418907337.225000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 12:56:54.661000 {"type":"join","timestamp":"1418907414.661000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2014-12-18 13:36:40.424000 {"type":"join","timestamp":"1418909800.424000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-12-18 13:53:19.355000 {"type":"join","timestamp":"1418910799.355000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-12-18 13:53:19.396000 {"type":"join","timestamp":"1418910799.396000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-12-18 14:21:51.652000 {"type":"join","timestamp":"1418912511.652000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"elux","nickname":"elux","name":"elux","username":null},"content":"elux joined #microformats"}
2014-12-18 14:23:59.539000 {"type":"join","timestamp":"1418912639.539000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Musk","nickname":"Musk","name":"Musk","username":null},"content":"Musk joined #microformats"}
2014-12-18 14:31:11.320000 {"type":"join","timestamp":"1418913071.320000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"TallTed","nickname":"TallTed","name":"TallTed","username":null},"content":"TallTed joined #microformats"}
2014-12-18 14:41:01.651000 {"type":"join","timestamp":"1418913661.651000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kez_","nickname":"kez_","name":"kez_","username":null},"content":"kez_ joined #microformats"}
2014-12-18 15:40:19.859000 {"type":"join","timestamp":"1418917219.859000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegor`","nickname":"gRegor`","name":"gRegor`","username":null},"content":"gRegor` joined #microformats"}
2014-12-18 16:35:22.554000 {"type":"join","timestamp":"1418920522.554000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 17:07:41.459000 {"type":"join","timestamp":"1418922461.459000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-12-18 18:28:09.761000 {"type":"join","timestamp":"1418927289.761000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Ryuno-Ki","nickname":"Ryuno-Ki","name":"Ryuno-Ki","username":null},"content":"Ryuno-Ki joined #microformats"}
2014-12-18 18:37:01.202000 {"type":"message","timestamp":"1418927821.202000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ferry_rinaldi] Tips Memperbaiki Missing hCard Author, Update, dan Entry-Title di Webmaster Tools | Technology | Blog http:\/\/www.kembar.pro\/2014\/07\/tips-memperbaiki-missing-hcard-author.html?utm_content=bufferea490&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer#.VI_2Lq-Oliw.buffer (http:\/\/twtr.io\/u8eAYZRXNf)"}
2014-12-18 18:37:23.517000 {"type":"join","timestamp":"1418927843.517000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Atamido","nickname":"Atamido","name":"Atamido","username":null},"content":"Atamido joined #microformats"}
2014-12-18 18:43:41.474000 {"type":"join","timestamp":"1418928221.474000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Atamido_","nickname":"Atamido_","name":"Atamido_","username":null},"content":"Atamido_ joined #microformats"}
2014-12-18 19:45:27.934000 {"type":"join","timestamp":"1418931927.934000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-12-18 19:50:43.017000 {"type":"join","timestamp":"1418932243.017000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 20:53:05.923000 {"type":"join","timestamp":"1418935985.923000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-12-18 21:43:32.655000 {"type":"join","timestamp":"1418939012.655000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 21:51:02.243000 {"type":"join","timestamp":"1418939462.243000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegor`","nickname":"gRegor`","name":"gRegor`","username":null},"content":"gRegor` joined #microformats"}
2014-12-18 23:00:57.516000 {"type":"join","timestamp":"1418943657.516000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu1","nickname":"KartikPrabhu1","name":"KartikPrabhu1","username":null},"content":"KartikPrabhu1 joined #microformats"}
2014-12-18 23:05:08.784000 {"type":"join","timestamp":"1418943908.784000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 23:53:34.355000 {"type":"join","timestamp":"1418946814.355000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
